,mean,ci1,ci2
STD_diagonal_aec_theta___rf,0.169537032,0.06723151,0.261931352
STD_diagonal_aec_alpha___krr,0.151611999,0.009065889,0.272490422
IND_diagonal_aec_theta___xgb,0.138396924,0.011301413,0.25638733
STD_diagonal_dwpli_theta___rf,0.138149375,0.046890706,0.218569537
IND_diagonal_aec_alpha___enet,0.122712257,0.015336148,0.21845883
IND_diagonal_aec_beta___pls,0.107126597,0.019817588,0.190603391
STD_diagonal_aec_beta___pls,0.101146814,0.013600283,0.184249049
STD_diagonal_dwpli_alpha___xgb,0.093196376,-0.019391847,0.197675022
IND_diagonal_dwpli_theta___xgb,0.092380484,-0.00875295,0.185135383
IND_diagonal_dwpli_alpha___enet,0.074408576,-0.008889273,0.15666736
STD_diagonal_dwpli_delta___xgb,0.058972257,-0.011949248,0.124737101
STD_diagonal_dwpli_beta___rf,0.046967052,-0.021322637,0.109493365
STD_diagonal_aec_delta___rf,0.029995184,-0.06557511,0.116340672
IND_diagonal_aec_delta___enet,0.027247404,-0.109677438,0.14830392
IND_diagonal_dwpli_gamma1___xgb,0.016472544,-0.069652122,0.096718382
IND_diagonal_dwpli_beta___xgb,0.011139362,-0.083913719,0.099866691
IND_diagonal_dwpli_gamma2___rf,0.005168615,-0.064769147,0.069774997
STD_diagonal_dwpli_gamma1___rf,0.001411293,-0.064075543,0.055582863
IND_diagonal_aec_gamma2___enet,-0.006058247,-0.108594163,0.08590695
STD_diagonal_aec_gamma1___xgb,-0.015777975,-0.075120334,0.039953359
STD_diagonal_dwpli_gamma2___xgb,-0.016258631,-0.096995695,0.057930257
STD_diagonal_aec_gamma2___enet,-0.024429059,-0.074967698,0.014720884
IND_diagonal_aec_gamma1___rf,-0.030344567,-0.08732038,0.020130433
IND_diagonal_dwpli_delta___enet,-0.03471017,-0.082159425,-0.003916047
