,IND_diagonal_aec_alpha,IND_diagonal_aec_beta,IND_diagonal_aec_delta,IND_diagonal_aec_gamma1,IND_diagonal_aec_gamma2,IND_diagonal_aec_theta,IND_diagonal_dwpli_alpha,IND_diagonal_dwpli_beta,IND_diagonal_dwpli_delta,IND_diagonal_dwpli_gamma1,IND_diagonal_dwpli_gamma2,IND_diagonal_dwpli_theta,STD_diagonal_aec_alpha,STD_diagonal_aec_beta,STD_diagonal_aec_delta,STD_diagonal_aec_gamma1,STD_diagonal_aec_gamma2,STD_diagonal_aec_theta,STD_diagonal_dwpli_alpha,STD_diagonal_dwpli_beta,STD_diagonal_dwpli_delta,STD_diagonal_dwpli_gamma1,STD_diagonal_dwpli_gamma2,STD_diagonal_dwpli_theta
0,0.378268615,0.204792237,0.273464213,-0.127841509,0.085787811,0.362148633,0.260294275,0.084309534,-0.161850279,-0.259391382,-0.291759316,0.158350975,0.394629328,0.2076481,0.102725872,0.010517492,-0.052432185,0.410193164,0.147733929,0.009644789,-0.246853318,-0.282580354,-0.116005887,0.201363361
1,0.332367264,0.281716876,0.434099273,-0.183416771,0.017856866,0.213730472,0.232347703,0.073618401,-0.202002067,-0.277969849,-0.292346956,0.147473526,0.350330979,0.273425604,0.152845661,-0.01095175,-0.083685972,0.35383019,0.191226513,0.082670023,-0.254255049,-0.238125402,-0.197392278,0.285309133
2,0.306218762,0.290719576,0.298770022,-0.179621956,0.125503055,0.256750978,0.259201524,0.07825471,-0.09846696,-0.099415542,-0.144349569,0.140958867,0.363002505,0.269321385,0.16936265,-0.136988547,0.01729721,0.384294471,0.148028351,0.049739176,-0.117854547,-0.134386491,-0.187766216,0.236011949
3,0.39157696,0.293725473,0.331610885,-0.071090857,0.160300953,0.260694981,0.189894222,0.127818631,0.022026614,-0.116031122,-0.134705446,0.161699723,0.432073503,0.343904833,0.177650356,0.002586154,0.026845426,0.392291202,0.174876999,0.1231299,-0.1011285,-0.13746336,-0.216226622,0.313812999
4,0.437690749,0.394030806,0.335387153,-0.206082137,-0.008331851,0.187922667,0.314329374,0.222604571,-0.041896599,-0.135982227,-0.194679334,0.167731736,0.454179845,0.46292299,0.135064513,-0.180933398,-0.094175491,0.325716047,0.294468445,0.155731543,-0.195182603,-0.135127399,-0.102080097,0.250835749
5,0.399870203,0.245826677,0.362411904,-0.065469683,0.112038431,0.277130111,0.316613591,0.130352569,-0.075254822,-0.06308799,-0.091894804,0.108420382,0.431565544,0.193693434,0.15400182,0.056819115,0.020920868,0.382575772,0.224987804,0.076920394,-0.01037454,-0.07509684,-0.04011001,0.28172152
6,0.37468982,0.26687283,0.357098287,-0.144430525,0.239274193,0.326800423,0.314935385,0.141378242,0.00570178,0.068556367,0.024863255,0.2056071,0.42972254,0.269224267,0.252463682,-0.116162816,0.237988356,0.426900837,0.23214609,0.113901838,0.045474728,0.029513865,-0.044044195,0.366186652
7,0.263433576,0.223772484,0.19863651,-0.090151252,0.173858458,0.202323313,0.229909358,0.040769238,-0.10079047,-0.158742128,-0.188461331,0.078433144,0.305906814,0.207177757,0.144171214,-0.071288905,-0.046189598,0.306898186,0.141127128,-0.07525971,-0.192702961,-0.177429784,-0.180612446,0.211055419
8,0.440632194,0.374395627,0.379267678,-0.049492056,0.039347016,0.194345037,0.296922828,0.254316751,0.092570335,0.011195633,0.018323694,0.121963276,0.45461719,0.307968361,0.20574127,-0.00017439,0.056210683,0.331676412,0.27246277,0.205154625,0.052965812,0.005077198,-0.078749774,0.303239744
9,0.383586349,0.342314071,0.427480942,-0.094761852,0.314221063,0.360726598,0.274154824,0.237517536,0.01398352,0.024675753,0.015333593,0.281866903,0.406956786,0.335789125,0.201957871,0.032971126,0.259235093,0.41663826,0.236888819,0.159936484,0.038256642,0.011899088,0.060658501,0.391691848
