,IND_diagonal_aec_alpha,IND_diagonal_aec_beta,IND_diagonal_aec_delta,IND_diagonal_aec_gamma1,IND_diagonal_aec_gamma2,IND_diagonal_aec_theta,IND_diagonal_dwpli_alpha,IND_diagonal_dwpli_beta,IND_diagonal_dwpli_delta,IND_diagonal_dwpli_gamma1,IND_diagonal_dwpli_gamma2,IND_diagonal_dwpli_theta,STD_diagonal_aec_alpha,STD_diagonal_aec_beta,STD_diagonal_aec_delta,STD_diagonal_aec_gamma1,STD_diagonal_aec_gamma2,STD_diagonal_aec_theta,STD_diagonal_dwpli_alpha,STD_diagonal_dwpli_beta,STD_diagonal_dwpli_delta,STD_diagonal_dwpli_gamma1,STD_diagonal_dwpli_gamma2,STD_diagonal_dwpli_theta
0,0.13529093,0.009671616,0.027297318,-0.191659247,-0.036669269,0.108061773,0.040458354,-0.016422324,-0.061754855,-0.055244365,-0.058344795,-0.018265603,0.145282755,0.010149761,-0.05332135,-0.108768381,-0.044315116,0.157996355,-0.000630016,-0.034454622,-0.060231497,-0.0602502,-0.039981365,0.024406368
1,0.088837881,0.073052896,0.18137455,-0.215438124,-0.07877932,0.031197981,0.034604282,-0.005737016,-0.048242888,-0.044303932,-0.047678656,-0.041163829,0.096906604,0.067072856,-0.028147061,-0.104962514,-0.037497461,0.115131706,0.025772204,-0.006886943,-0.044713318,-0.046501714,-0.044718904,0.078991631
2,0.062771239,0.064905489,0.035912299,-0.266518767,-0.001284984,0.063720147,0.056649959,0.003136606,-0.02927591,-0.019021234,-0.024087268,-0.024985029,0.111084351,0.063260782,-0.0210606,-0.139963847,-0.010925392,0.145208269,0.009334539,-0.003997615,-0.024929172,-0.024614591,-0.0393044,0.055627871
3,0.112925149,0.045135124,0.039132289,-0.096089818,-0.021442198,0.045441933,-0.009508161,0.000163791,-0.021313646,-0.03547817,-0.037892669,-0.017230653,0.166485102,0.093585585,-0.027668418,-0.066248315,-0.024925726,0.136880151,0.009576818,-0.002656962,-0.036211283,-0.040705354,-0.054740918,0.073097
4,0.181938616,0.141460152,0.079441701,-0.307334431,-0.048624657,0.020590301,0.090976648,0.035965971,-0.026365027,-0.024933422,-0.031801904,-0.038361282,0.200465744,0.185292476,-0.038191362,-0.176336514,-0.037010826,0.094520364,0.079673846,0.017995822,-0.036216697,-0.02569055,-0.024074182,0.059963972
5,0.148377919,0.042824143,0.117659267,-0.067225498,-0.02621182,0.071849491,0.085041756,0.002658118,-0.027421779,-0.022761981,-0.026624875,-0.047679786,0.173284273,0.016083359,-0.005480845,-0.040491739,-0.018359984,0.142618403,0.037862454,-0.009823707,-0.01850581,-0.025082848,-0.022662782,0.059427257
6,0.134630621,0.049815346,0.100080168,-0.256996562,0.035121593,0.081733446,0.089333405,-0.002511804,-0.028836377,-0.012925121,-0.019741709,0.004568824,0.176410478,0.055014925,0.04226368,-0.160123556,0.018428156,0.167545585,0.041144945,-0.010261107,-0.016197778,-0.018840183,-0.02934539,0.095508216
7,0.047093402,0.017266706,-0.057580727,-0.06481554,0.024757424,0.030888546,0.027269421,-0.006651788,-0.038080566,-0.025925135,-0.029058546,-0.072168911,0.070732272,0.020932602,-0.03249199,-0.063059993,-0.021606824,0.08545401,0.008658892,-0.044342574,-0.038688678,-0.030314423,-0.03626731,0.044199287
8,0.184464181,0.127299944,0.113911291,-0.069142753,-0.043879435,0.019888445,0.078238785,0.041553652,0.000212496,-0.010489425,-0.00982658,-0.076063603,0.200313881,0.074507935,0.006410904,-0.044398345,-0.009097227,0.098797381,0.0634833,0.028675477,-0.005306509,-0.011756736,-0.025508693,0.083325146
9,0.133146154,0.087986944,0.17358494,-0.153358038,0.088260524,0.121492457,0.067540168,0.028742202,-0.020338613,-0.015318539,-0.017440803,0.060589295,0.146173813,0.083414698,0.015850627,-0.066957892,0.026370796,0.167694182,0.046967488,0.004919734,-0.01449716,-0.018049963,-0.010041676,0.125349335
