,IND_diagonal_aec_alpha,IND_diagonal_aec_beta,IND_diagonal_aec_delta,IND_diagonal_aec_gamma1,IND_diagonal_aec_gamma2,IND_diagonal_aec_theta,IND_diagonal_dwpli_alpha,IND_diagonal_dwpli_beta,IND_diagonal_dwpli_delta,IND_diagonal_dwpli_gamma1,IND_diagonal_dwpli_gamma2,IND_diagonal_dwpli_theta,STD_diagonal_aec_alpha,STD_diagonal_aec_beta,STD_diagonal_aec_delta,STD_diagonal_aec_gamma1,STD_diagonal_aec_gamma2,STD_diagonal_aec_theta,STD_diagonal_dwpli_alpha,STD_diagonal_dwpli_beta,STD_diagonal_dwpli_delta,STD_diagonal_dwpli_gamma1,STD_diagonal_dwpli_gamma2,STD_diagonal_dwpli_theta
0,0.382489097,0.187362991,0.208523086,-0.302352972,-0.294257332,-0.302350911,-0.244881575,-0.297750039,-0.302608791,-0.2951362,-0.018620457,-0.272794581,0.43347611,-0.006118559,0.222101957,0.046869044,-0.283084942,0.309233224,-0.265684396,-0.298901708,-0.302767915,-0.299188986,-0.00432258,-0.280564271
1,0.328629968,0.223796048,0.367071163,-0.289469676,-0.240676666,-0.289469248,-0.19604495,-0.28650783,-0.289481022,-0.281581678,-0.066883607,-0.262789656,0.327311908,0.084468047,0.226217101,0.066778652,-0.226561355,0.193644771,-0.236605734,-0.287166563,-0.289413903,-0.282825903,-0.063969715,-0.284453387
2,0.295244773,0.28255952,0.270028602,-0.151110249,-0.140664108,-0.151107756,-0.06042805,-0.142673489,-0.15144367,-0.140908878,0.077994026,-0.125358436,0.431515493,0.201349471,0.176306913,-0.092911217,-0.134474553,0.320929046,-0.080231295,-0.144403833,-0.151291799,-0.142579233,0.090425231,-0.14887346
3,0.368365264,0.23085763,0.323992681,-0.137467499,-0.154609959,-0.137465392,-0.242464664,-0.132706239,-0.138211112,-0.14389214,0.017508609,-0.097126711,0.453781702,0.19374038,0.199334067,-0.025524664,-0.149675313,0.369107834,-0.234719473,-0.134131802,-0.137998663,-0.146551754,0.021909949,-0.120148192
4,0.424196634,0.341412451,0.289842275,-0.19578927,-0.142778443,-0.195787972,-0.1211976,-0.185711409,-0.196315329,-0.195153125,0.031555922,-0.17503528,0.474713484,0.230520071,0.238203443,-0.094740873,-0.130308886,0.354579892,-0.145641578,-0.188085162,-0.196067155,-0.199396072,0.04112385,-0.183633142
5,0.39037045,0.161081369,0.29515874,-0.102068988,-0.092702783,-0.102067243,-0.103361182,-0.099403579,-0.102532006,-0.112646245,0.061062625,-0.079695912,0.469094951,0.076550188,0.242636864,0.030027247,-0.086494247,0.349317097,-0.109402791,-0.100467328,-0.102009377,-0.116047985,0.05108196,-0.108553738
6,0.315474123,0.179821456,0.28713191,0.021767605,-0.002395546,0.021769031,0.049544884,0.022602384,0.021672179,0.026207991,0.149629133,0.031564486,0.435988349,0.066526718,0.265452867,-0.022547616,0.00679711,0.391105248,0.041004166,0.022623659,0.021699315,0.022596572,0.143623308,0.021841088
7,0.263829591,0.19284981,0.153352271,-0.182013405,-0.18406096,-0.182011506,-0.202867837,-0.178272432,-0.180985085,-0.168841308,-0.011580517,-0.168617874,0.371405837,0.086957796,0.199490662,-0.126669898,-0.179336703,0.213859381,-0.213636936,-0.179357001,-0.181289814,-0.170225281,0.005117855,-0.192718555
8,0.411938375,0.256664297,0.365728671,0.003204869,0.019064396,0.003207056,-0.10287953,0.00247079,0.002871662,-0.013691325,0.151243555,-0.020412367,0.513859625,0.098065852,0.241531636,0.015181678,0.025599411,0.415132692,-0.09330955,0.003429199,0.003082512,-0.021041104,0.163074296,-0.023129365
9,0.394201942,0.288181894,0.386426241,0.004202805,0.012541448,0.004203202,0.051759033,0.009052956,0.004516167,-0.001976335,0.159430342,-0.001616782,0.443531717,0.172731098,0.257268022,0.086146705,0.015075797,0.235490943,0.043890048,0.008576373,0.004424947,-0.004113457,0.159330696,-0.01417261
