,IND_diagonal_aec_alpha,IND_diagonal_aec_beta,IND_diagonal_aec_delta,IND_diagonal_aec_gamma1,IND_diagonal_aec_gamma2,IND_diagonal_aec_theta,IND_diagonal_dwpli_alpha,IND_diagonal_dwpli_beta,IND_diagonal_dwpli_delta,IND_diagonal_dwpli_gamma1,IND_diagonal_dwpli_gamma2,IND_diagonal_dwpli_theta,STD_diagonal_aec_alpha,STD_diagonal_aec_beta,STD_diagonal_aec_delta,STD_diagonal_aec_gamma1,STD_diagonal_aec_gamma2,STD_diagonal_aec_theta,STD_diagonal_dwpli_alpha,STD_diagonal_dwpli_beta,STD_diagonal_dwpli_delta,STD_diagonal_dwpli_gamma1,STD_diagonal_dwpli_gamma2,STD_diagonal_dwpli_theta
0,0.118039799,-0.026953774,-0.024390383,-0.060911987,-0.069732838,-0.060911692,-0.081269075,-0.060485216,-0.060890416,-0.060012645,-0.034243157,-0.068938908,0.159805975,-0.245063777,0.002718582,-0.174101104,-0.071728009,0.070823543,-0.07200473,-0.060540204,-0.060890737,-0.060504722,-0.033549191,-0.068881465
1,0.030647661,-0.006011376,0.11922484,-0.04812614,-0.047524762,-0.048125921,-0.062761569,-0.048066991,-0.04812722,-0.047007919,-0.028432342,-0.04826822,-0.021881688,-0.17971654,0.007681228,-0.129257953,-0.047778899,-0.027892438,-0.058812575,-0.047994528,-0.048110493,-0.047212209,-0.02978212,-0.048203812
2,-0.003664544,0.003827656,0.009931654,-0.026168527,-0.028797095,-0.02616816,-0.022626711,-0.025167889,-0.026168995,-0.024696403,0.001701233,-0.024259544,0.140892165,-0.081597764,-0.094629305,-0.077413529,-0.029242733,0.099969766,-0.022806823,-0.025374153,-0.026148166,-0.024900926,0.00305839,-0.027397429
3,0.055438107,-0.02228623,0.042537702,-0.038420027,-0.048019662,-0.038419742,-0.087227846,-0.037690006,-0.038470085,-0.039500686,-0.027515103,-0.041565171,0.166955328,-0.053528958,-0.097750608,-0.076579564,-0.049816172,0.12246592,-0.071702331,-0.037926744,-0.03843365,-0.03981436,-0.028444708,-0.043505414
4,0.136320918,0.084069584,0.034116446,-0.032862735,-0.03293301,-0.032862548,-0.04140537,-0.031693468,-0.032843588,-0.032781573,-0.010298192,-0.035748197,0.20665121,-0.0312806,-0.002048698,-0.122438864,-0.033301241,0.120495686,-0.038702267,-0.031990533,-0.032833647,-0.033259898,-0.009420933,-0.034507334
5,0.130668568,-0.018640336,0.06767636,-0.027870115,-0.031386845,-0.027869917,-0.037454135,-0.027500649,-0.027884497,-0.029241794,-0.013017957,-0.029709383,0.209575966,-0.085547088,0.033488379,-0.093812063,-0.032121495,0.113526545,-0.033904757,-0.027647803,-0.027838292,-0.029588796,-0.014469709,-0.032216503
6,0.057528288,-0.03680366,0.049092764,-0.019669611,-0.026214394,-0.019669474,-0.015587519,-0.01954354,-0.019680127,-0.019595374,-0.006000208,-0.021232134,0.165523546,-0.16175106,0.038704279,-0.127676075,-0.025918585,0.142814346,-0.016757009,-0.019545763,-0.019675141,-0.019999703,-0.007329879,-0.021780061
7,0.001854387,-0.064056101,-0.095393031,-0.028901594,-0.032786071,-0.028901254,-0.061040853,-0.028445288,-0.028719107,-0.02700789,-0.009721729,-0.033310657,0.092752288,-0.188661054,-0.034382964,-0.094473257,-0.033741593,-0.024802073,-0.04832765,-0.028583069,-0.028750255,-0.02723003,-0.008623315,-0.036711835
8,0.100587947,0.029701554,0.106148116,-0.011519919,-0.013175968,-0.011519663,-0.038822989,-0.011605068,-0.011551424,-0.014028958,0.005022377,-0.020141197,0.253708762,-0.10237927,-0.034946583,-0.061640226,-0.01338401,0.171710907,-0.030782564,-0.011486578,-0.011530248,-0.014913064,0.006790396,-0.019940439
9,0.1128824,0.026497331,0.13867629,-0.018619358,-0.019927151,-0.018619314,-0.012987565,-0.017922104,-0.018573721,-0.019620704,-0.002647139,-0.022773669,0.144673004,-0.113949101,0.032292432,-0.079962827,-0.020380986,0.012277012,-0.013830375,-0.018006435,-0.018586425,-0.019864163,-0.00288351,-0.023376147
10,0.058233307,0.016209578,-0.042146996,-0.067430835,-0.072743941,-0.067430631,-0.081074275,-0.067323975,-0.067394585,-0.065980443,-0.049649124,-0.072330249,0.124477991,-0.13642827,-0.084977569,-0.144425711,-0.0742474,-0.03000606,-0.073612851,-0.067275527,-0.067381745,-0.066120418,-0.050855969,-0.074024385
11,0.14119923,-0.03346448,0.123406387,-0.016459602,-0.019496552,-0.016459451,-0.021489093,-0.016532982,-0.016567387,-0.013654131,0.010395069,-0.020873184,0.190338055,-0.147826246,0.013103116,-0.044968523,-0.01866607,0.148650181,-0.020441759,-0.016431931,-0.016509398,-0.014123993,0.010676289,-0.020602612
12,0.116613862,0.042440576,0.07824172,-0.02806721,-0.031908479,-0.028067071,-0.051194769,-0.027889946,-0.028029032,-0.026642107,-0.000536655,-0.03115017,0.129520054,-0.142292573,0.077932426,-0.109068,-0.032623409,0.000792805,-0.043458842,-0.027887999,-0.028018867,-0.027204649,0.001551881,-0.032305083
13,0.081365795,0.049392762,-0.001747841,-0.030486741,-0.029857743,-0.030486671,-0.017065429,-0.029727375,-0.030471945,-0.033520211,-0.016364858,-0.030667851,0.102511433,-0.125260016,-0.046775357,-0.077424541,-0.030303429,-0.120698628,-0.021057392,-0.029912612,-0.030464159,-0.034244863,-0.017158543,-0.031516917
14,0.160701995,0.059525955,0.017885149,-0.053326764,-0.059926912,-0.053326632,-0.072646184,-0.053236099,-0.053241101,-0.052320205,-0.038167,-0.050609823,0.366150055,-0.073735413,-0.029531986,-0.161295645,-0.061420536,0.192905239,-0.065592851,-0.053142979,-0.053266453,-0.052712182,-0.038619119,-0.050520537
15,0.138122792,-0.052608555,-0.033299271,-0.035906511,-0.042417032,-0.035906315,-0.061610693,-0.036157731,-0.035961234,-0.032061698,-0.007172196,-0.043008829,0.117734627,-0.200760002,-0.084180868,-0.151294956,-0.043768854,0.03699884,-0.052540639,-0.03592002,-0.035926236,-0.032349933,-0.004612329,-0.043481054
16,-0.001047688,0.074185453,-0.059805793,-0.040880473,-0.045762213,-0.040880205,-0.076326053,-0.040788857,-0.040853236,-0.038927574,-0.022501351,-0.042583841,0.131800959,-0.0824296,-0.050419153,-0.149651979,-0.047265571,-0.050474318,-0.061528742,-0.040695506,-0.040821023,-0.039239913,-0.023873315,-0.044998593
17,0.027778006,-0.051625124,0.056575079,-0.028436183,-0.039391008,-0.02843614,-0.038630187,-0.02782697,-0.028585926,-0.027845828,-0.009500751,-0.028784576,0.048811765,-0.19462225,-0.066519517,-0.156635729,-0.042683341,-0.038971858,-0.035642917,-0.027949235,-0.028515718,-0.028647025,-0.009171156,-0.030886137
18,-0.131096456,-0.07670018,0.031483567,-0.016641031,-0.021933826,-0.016640823,-0.045443836,-0.016983777,-0.016688174,-0.015229937,0.000636998,-0.021781789,-0.063971495,-0.124894022,-0.016464462,-0.060002857,-0.022623404,0.024945769,-0.034460386,-0.016786015,-0.01662235,-0.01549289,0.000795696,-0.023084684
19,0.079212131,0.123209569,-0.084395724,-0.039371221,-0.044882651,-0.039371028,-0.048641477,-0.039103393,-0.039172382,-0.040159692,-0.019303395,-0.044292758,0.167201987,-0.016011479,0.001803181,-0.138256034,-0.046610303,0.016660567,-0.044409228,-0.03908733,-0.039222335,-0.040501835,-0.018218975,-0.045712491
20,-0.051830321,0.023457408,-0.020816323,-0.052256889,-0.056026381,-0.052256507,-0.078710584,-0.051991631,-0.052290174,-0.053576503,-0.032351718,-0.048776102,0.008454591,-0.182988195,-0.012073033,-0.066057955,-0.056614077,0.113813339,-0.068896075,-0.052056322,-0.052241617,-0.054090401,-0.032783246,-0.050813827
21,0.111495594,0.048731497,-0.052945211,-0.066677805,-0.072424028,-0.066677702,-0.074837412,-0.066005185,-0.066668218,-0.065528761,-0.049939717,-0.075597375,0.171946735,-0.091591461,-0.0445241,-0.132561315,-0.073283381,0.063569461,-0.071540844,-0.066123826,-0.066622374,-0.065816792,-0.049051819,-0.076610774
22,-0.061619755,-0.050131972,0.038152555,-0.032540051,-0.037806146,-0.03253959,-0.104547669,-0.032836101,-0.032553505,-0.031670543,-0.022352009,-0.028949151,0.010075592,-0.138068325,-0.03289402,-0.115211411,-0.038897871,0.122066791,-0.077603829,-0.032571041,-0.032509014,-0.031827245,-0.022534728,-0.031067367
23,0.111137303,0.006777883,-0.034042844,-0.079865136,-0.08035504,-0.079865054,-0.115251415,-0.078783315,-0.079801749,-0.081102012,-0.063509112,-0.080814383,0.095521008,-0.120101459,-0.060037328,-0.148841644,-0.080879532,-0.008538888,-0.102990138,-0.079028253,-0.079792212,-0.081657883,-0.06185784,-0.079596238
