,IND_diagonal_aec_alpha,IND_diagonal_aec_beta,IND_diagonal_aec_delta,IND_diagonal_aec_gamma1,IND_diagonal_aec_gamma2,IND_diagonal_aec_theta,IND_diagonal_dwpli_alpha,IND_diagonal_dwpli_beta,IND_diagonal_dwpli_delta,IND_diagonal_dwpli_gamma1,IND_diagonal_dwpli_gamma2,IND_diagonal_dwpli_theta,STD_diagonal_aec_alpha,STD_diagonal_aec_beta,STD_diagonal_aec_delta,STD_diagonal_aec_gamma1,STD_diagonal_aec_gamma2,STD_diagonal_aec_theta,STD_diagonal_dwpli_alpha,STD_diagonal_dwpli_beta,STD_diagonal_dwpli_delta,STD_diagonal_dwpli_gamma1,STD_diagonal_dwpli_gamma2,STD_diagonal_dwpli_theta
0,0.338543031,0.272215059,0.090065891,0.105023488,-0.050088513,0.310961437,0.238476514,0.108575615,-0.209844614,0.23508501,0.287361497,0.207097972,0.350865814,0.263179999,0.171581176,0.089439191,0.05889854,0.346251527,0.186900206,0.125390623,-0.099613884,0.115691416,0.253366013,0.17691688
1,0.290961097,0.319369964,0.274901563,0.055958926,-0.001238895,0.291710862,0.251918308,0.199198946,-0.251532121,-0.002294106,-0.002380525,0.203695644,0.257504996,0.313084778,0.30031181,0.074013166,-0.011557772,0.22615923,0.229511669,0.205254466,-0.137853527,-0.081845185,-0.03068582,0.255804518
2,0.241398434,0.30887535,0.17685038,0.11137922,0.13052681,0.340280783,0.233977522,0.146523806,0.016380241,-0.025241994,-0.012443752,0.189322072,0.302094929,0.299369417,0.19498714,0.076588828,0.129783109,0.366318816,0.18638205,0.166450841,0.121178762,-0.112566375,-0.058597723,0.220016988
3,0.336036683,0.356733252,0.251125669,0.02385825,0.043499158,0.230948598,0.216865301,0.141192219,0.044907549,-0.018030841,-0.027912283,0.237384092,0.338159419,0.353603644,0.249730982,-0.000550624,0.007097934,0.235626293,0.228716693,0.215181294,0.172087421,-0.174127154,-0.072214696,0.238023251
4,0.363631307,0.484613197,0.192292511,-0.049762453,0.0604565,0.208707673,0.295103853,0.220679505,-0.162509064,0.133856162,0.15528396,0.210239634,0.397323707,0.477374913,0.224347048,-0.086510344,0.022390367,0.206410515,0.327624034,0.272944955,-0.089095379,-0.013262114,0.123211645,0.253177155
5,0.330166174,0.25213674,0.178648237,0.023830219,-0.00302124,0.287409066,0.312101185,0.12569952,-0.105780202,0.043558914,0.042835278,0.216284419,0.356182582,0.23877631,0.194644921,0.063537843,0.039125357,0.262093082,0.268488164,0.15118753,0.053208182,-0.04412711,0.002539879,0.266932595
6,0.307574517,0.286939678,0.223202096,0.124259445,0.26466972,0.313961978,0.290934082,0.163518475,-0.025988658,-0.021929839,0.052948642,0.198517421,0.355031897,0.274205727,0.350637305,0.063675403,0.234308443,0.336589856,0.300257806,0.187034668,0.092182251,-0.150737193,-0.01536112,0.2265394
7,0.205763414,0.257551252,0.09043406,0.052281318,-0.048631927,0.254436253,0.177328525,0.050508487,-0.019601292,0.063589814,0.025051193,0.147512633,0.227876662,0.251509962,0.150844982,0.020801467,0.023145813,0.290514533,0.112843137,0.056633374,0.027887918,0.004534313,-0.021541061,0.228894459
8,0.366312301,0.405457667,0.297668424,0.012022543,0.023630345,0.214035284,0.275483152,0.274251645,0.034028226,0.027335608,-0.113439239,0.202566377,0.412891884,0.392415065,0.259393113,-0.018530678,0.048171492,0.219270398,0.275498928,0.258481037,0.108208352,-0.137914906,-0.137297029,0.226615752
9,0.320025429,0.351621989,0.265902083,0.214776429,0.172719906,0.35069211,0.267943385,0.22240539,-0.102577067,-0.067967754,0.131143914,0.325895437,0.360765745,0.340969232,0.189362589,0.172328537,0.315677565,0.340925379,0.24305186,0.213702924,0.020795108,-0.086248668,0.097044683,0.330915718
