,IND_diagonal_aec_alpha,IND_diagonal_aec_beta,IND_diagonal_aec_delta,IND_diagonal_aec_gamma1,IND_diagonal_aec_gamma2,IND_diagonal_aec_theta,IND_diagonal_dwpli_alpha,IND_diagonal_dwpli_beta,IND_diagonal_dwpli_delta,IND_diagonal_dwpli_gamma1,IND_diagonal_dwpli_gamma2,IND_diagonal_dwpli_theta,STD_diagonal_aec_alpha,STD_diagonal_aec_beta,STD_diagonal_aec_delta,STD_diagonal_aec_gamma1,STD_diagonal_aec_gamma2,STD_diagonal_aec_theta,STD_diagonal_dwpli_alpha,STD_diagonal_dwpli_beta,STD_diagonal_dwpli_delta,STD_diagonal_dwpli_gamma1,STD_diagonal_dwpli_gamma2,STD_diagonal_dwpli_theta
0,0.092299413,0.053879941,-0.130364919,-0.061879916,-0.104568713,0.052586763,0.001896851,-0.06256353,-0.240037403,0.019490202,0.058577174,-0.032837004,0.070188951,0.047704569,-0.066736303,-0.169824491,-0.039539144,0.106236781,-0.02070653,-0.037556423,-0.238011843,-0.204178649,0.032066973,-0.194987256
1,0.031628463,0.100117051,0.027815351,-0.082209382,-0.066310647,0.01433977,0.025257172,0.004366529,-0.245629278,-0.275119755,-0.71075431,-0.084192514,-0.075285999,0.095927922,0.060679414,-0.15913845,-0.060957177,0.002273815,0.011153679,0.015922364,-0.232496398,-1.080111558,-0.960340505,-0.194715059
2,-0.02135341,0.087135055,-0.078851138,-0.019080528,-0.003615831,0.062994531,0.010868522,-0.011818393,-0.072575933,-0.211454969,-0.262128649,-0.066149915,-0.02496672,0.08029815,-0.100233008,-0.046396466,0.000585134,0.123860173,-0.021571397,0.006980843,-0.047724981,-0.638226836,-0.371241868,-0.161239159
3,0.052364472,0.109859798,-0.035393581,-0.096309,-0.050511959,-0.00329156,-0.019579985,-0.020021101,-0.086751794,-0.250957859,-0.457508444,-0.009368514,0.04286147,0.107113542,-0.06899697,-0.105506895,-0.056988255,0.008430305,0.000234679,0.026781403,-0.058003341,-0.708875954,-0.599075762,-0.049322972
4,0.090774442,0.213765535,-0.049312638,-0.139718016,-0.033952232,-0.034111978,0.057162817,0.030732031,-0.214004055,-0.093767388,-0.092384563,-0.085179206,0.112130827,0.206959456,-0.031829505,-0.167084627,-0.045538404,-0.0115298,0.101575136,0.065613158,-0.212129592,-0.401664141,-0.158840675,-0.173707872
5,0.087178737,0.049435899,-0.034854193,-0.061961847,-0.057227257,0.05283347,0.081964658,-0.021860784,-0.108598813,-0.145880765,-0.40427152,0.001134494,0.088053164,0.042376547,-0.029381823,-0.091556278,-0.029812463,0.052537871,0.053656047,-0.000227811,-0.072271039,-0.552412016,-0.571872305,0.02331013
6,0.070022176,0.070742138,0.002526384,-0.029472432,0.051325485,0.054351828,0.064519572,-0.034659611,-0.123205383,-0.291610381,-0.159712408,-0.054695926,0.078908495,0.061302328,0.101327385,-0.112164943,0.039171266,0.093078479,0.078858601,-0.010886779,-0.086658566,-0.96000814,-0.242450757,-0.077998445
7,-0.01676225,0.048509199,-0.142251782,-0.044797791,-0.0761945,0.000161131,-0.035942966,-0.069433004,-0.169637963,-0.145982209,-0.447345018,-0.101543993,-0.057153969,0.045767586,-0.097578436,-0.072873658,-0.034009331,0.062554287,-0.068025544,-0.05319211,-0.21294072,-0.564033938,-0.641186821,-0.061188578
8,0.088534176,0.14804943,0.037506115,-0.090192073,-0.043034044,-0.066088366,0.049586801,0.06283446,-0.064079444,-0.175567943,-0.686822456,-0.062321489,0.13095952,0.139310424,-0.035785084,-0.111308089,-0.02462856,0.006523676,0.06006647,0.059845753,-0.070471969,-0.656755287,-0.909076623,-0.125243003
9,0.055340117,0.101581724,0.040147738,0.024573932,0.009297836,0.081186309,0.056311596,0.005708127,-0.116848023,-0.284533241,-0.184012462,0.061074836,0.058408641,0.094854603,-0.037774679,-0.036029739,0.070563302,0.102273466,0.039160809,0.005154371,-0.091754231,-0.600555626,-0.256928201,-0.010986829
10,-0.00395208,0.055882189,-0.13209011,-0.085627048,-0.064754518,-0.102879407,-0.036314489,-0.081793966,-0.255176115,-0.078000905,-0.400447822,-0.200509205,-0.016985015,0.047610298,-0.034315711,-0.157590566,-0.043899824,-0.055702576,-0.062272253,-0.069241709,-0.258087087,-0.487812236,-0.561254058,-0.596429502
11,0.123154334,0.072867021,0.030575386,-0.039771635,0.051761236,0.103941516,0.153233362,0.01237402,-0.058718,-0.101534387,-0.095149831,-0.057740438,0.086599201,0.064127829,0.039515347,-0.006619742,0.040901568,0.10398899,0.126613126,0.024158523,-0.034089746,-0.467821699,-0.139482362,-0.063924642
12,0.085144617,0.103490449,0.010245873,-0.048661386,-0.079158867,0.057348286,0.050523104,-0.03104318,-0.155383964,-0.066847647,-0.072233409,-0.085019107,0.041158549,0.095739373,0.038332415,-0.115957536,-0.026785471,0.120640802,-0.024228164,-0.016647333,-0.165869698,-0.320909989,-0.134964266,-0.236015011
13,0.092401964,0.074671154,-0.072456082,-0.045437408,0.000162982,-0.031653999,0.066256628,0.040107835,-0.18517906,-0.213976144,-0.250749848,-0.054884798,0.045980838,0.070040986,-0.062960537,-0.052469285,0.002112436,-0.034934311,0.031605398,0.025891253,-0.17767999,-0.620939064,-0.365386193,-0.192269581
14,0.110507421,0.119621306,-0.066576678,-0.039489541,-0.017438728,0.073060105,-0.015594983,0.005967328,-0.164371699,-0.122962225,-0.027847525,-0.107263079,0.184650662,0.110513211,-0.02084111,-0.160104825,-0.007624013,0.118248905,-0.01667363,0.003827673,-0.153739677,-0.466153414,-0.085290218,-0.175056644
15,0.112500891,-0.005576581,-0.129138377,-0.073658106,-0.028313913,-0.111962353,0.001208676,-0.148915339,-0.14635849,-0.04423841,0.085342826,-0.19571573,0.017401136,-0.007204559,-0.102144845,-0.10825268,0.0272409,0.057266469,-0.032382315,-0.136278723,-0.145167898,-0.281847263,0.056537749,-0.378745024
16,-0.030494984,0.09831204,-0.15535435,-0.068545429,-0.04072624,0.003560415,-0.007591976,-0.038610508,-0.100946262,-0.110195457,-0.058565498,-0.228031633,-0.029957101,0.090693192,-0.119002225,-0.143010513,-0.003483888,0.012011918,-0.024704889,-0.036403956,-0.095487747,-0.408571008,-0.096605794,-0.356174511
17,0.053160641,0.138425384,0.017064304,-0.089796409,-0.001456394,-0.077558006,0.018228146,0.025772351,-0.154750894,-0.267094437,-0.113543513,-0.135374985,0.004520901,0.138820872,-0.00097126,-0.143589549,-0.000378259,0.000615686,0.064936445,0.053485404,-0.083779177,-0.864786006,-0.189672952,-0.294474152
18,-0.106814207,0.107873676,-0.02740613,-0.060081555,-0.105585338,-0.233260815,-0.029677164,-0.003529667,-0.192101532,-0.179702998,-0.594665091,-0.234782379,-0.126338623,0.097674126,0.015874905,-0.093206036,-0.059031605,-0.114792822,0.000991848,0.015934033,-0.147676363,-0.534468394,-0.78265691,-0.258748516
19,0.043644274,0.162930977,-0.143503713,-0.126579053,-0.074942074,-0.043644241,-0.001653732,0.003084818,-0.159849708,-0.155149571,-0.333743901,-0.204874907,0.035503592,0.158794295,-0.063010787,-0.179847078,-0.069715077,-0.042358987,-0.004685353,0.003790877,-0.157423876,-0.503792377,-0.450196096,-0.300124265
20,-0.057475509,0.079198179,-0.089806154,-0.058649896,-0.092796062,0.035569196,-0.026855799,-0.02293522,-0.210100794,-0.111475396,-0.36035187,-0.026506352,-0.094861887,0.071511522,-0.026697183,-0.091095024,-0.050785693,0.07218217,-0.048303658,0.010770666,-0.234706002,-0.363788604,-0.468495696,-0.081549384
21,0.124492016,0.103055797,-0.128663368,-0.028017214,-0.008157249,-0.063191402,0.072753096,-0.076046792,-0.229707422,-0.202728435,-0.102659162,-0.097107454,0.106901636,0.102588492,-0.058651844,-0.10530505,-0.015684344,0.000900543,0.066545079,-0.054115582,-0.155119668,-0.737956596,-0.19853971,-0.153200068
22,-0.022380448,0.103214058,-0.039333623,-0.077755015,-0.030414122,-0.053240425,0.009893628,0.034589851,-0.1027506,-0.146152606,-0.210767741,-0.048264607,-0.064820905,0.096366848,-0.043404171,-0.103184172,-0.034793549,0.087504254,0.009208215,0.019635606,-0.081425131,-0.488678607,-0.302183507,-0.187828778
23,0.058719862,0.062969483,-0.083631644,-0.107018676,-0.047422642,0.009067793,-0.050939167,-0.077821146,-0.174767958,-0.169220152,-0.036549667,-0.056086598,0.017003982,0.057023868,-0.026579062,-0.127376065,-0.029332597,0.068597934,-0.06613734,-0.079704678,-0.16583151,-0.414588337,-0.106266277,-0.151815429
24,0.172815629,0.162029851,-0.061512733,-0.02682692,-0.056914881,-0.014303763,0.15373787,-0.042391179,-0.175762722,-0.043800531,-0.109941843,-0.051950282,0.123436291,0.156391971,-0.029280887,-0.144820662,-0.011516969,0.080921122,0.117917886,0.01458204,-0.146681572,-0.346155193,-0.204509283,-0.101499925
25,0.090786024,0.076149695,-0.054886216,-0.001792849,0.038668078,0.018864312,0.130765869,-0.023789386,-0.194970744,-0.069466277,-0.118645099,0.037079609,0.111820531,0.067877694,0.027298091,-0.095647599,0.022762081,0.029889262,0.10021771,-0.000571024,-0.172302475,-0.345483138,-0.201087436,-0.097957639
26,0.07732998,0.101763186,-0.111859361,-0.038393204,-0.111001465,0.022703293,-0.00738124,-0.044403956,-0.136069535,-0.04310868,-0.169898637,-0.009464962,0.062034791,0.090703482,-0.139772341,-0.121281097,-0.051988578,0.007444869,-0.018017072,-0.012791288,-0.163769369,-0.16553907,-0.25843052,-0.07968046
27,0.066623457,0.023273601,-0.050418421,-0.030570489,0.039485596,0.001334681,-0.003539265,-0.069735437,-0.179834341,-0.131119288,-0.008455142,-0.048057455,-0.000244465,0.020942093,-0.017739041,-0.041772459,0.018052174,0.007250288,-0.026829219,-0.042532996,-0.135398037,-0.419927359,-0.076888845,-0.040247263
28,0.026006204,0.078234598,-0.113994587,-0.084111297,-0.027370221,-0.015688699,0.03927287,-0.09818045,-0.199644856,-0.174781117,-0.179808353,-0.033734818,0.02555277,0.080424321,-0.010983426,-0.122175639,-0.010558832,0.037824418,0.012029589,-0.044508265,-0.160011575,-0.536554197,-0.279739766,-0.041676125
29,0.078842473,0.088167836,-0.091280992,-0.134364512,-0.043339666,-0.035217886,-0.049787054,-0.017700511,-0.177564846,-0.118360209,-0.084842547,-0.089492799,0.109366546,0.083939028,-0.069035624,-0.129027561,-0.046850368,0.027175159,0.001645334,0.017707102,-0.195161307,-0.235844677,-0.12714707,-0.278247773
30,0.070442521,0.159488162,0.040838867,-0.12177374,-0.081677401,0.016645698,0.03801889,-0.008443832,-0.050065302,-0.176632585,-0.370838487,0.081855574,0.142652405,0.155196851,0.04404205,-0.119838933,-0.092768275,0.042623322,0.055752772,0.052254907,-0.061983569,-0.518235149,-0.488233214,0.00669602
31,-0.025896611,0.061534374,-0.150056069,-0.06487869,0.033404538,0.007076753,-0.046038934,-0.076119878,-0.154942692,-0.086816195,0.053012546,-2.49E-05,0.020495297,0.05999396,-0.073749513,-0.167784253,0.019728374,0.084080643,-0.037797985,-0.062716667,-0.148385805,-0.531903881,-0.010658605,-0.079570605
32,-0.063379906,0.017639421,-0.083214159,-0.035960694,0.001927734,-0.022868119,0.077707639,-0.063995637,-0.218078341,-0.105792621,-0.043314739,-0.076065405,0.000395036,0.009007602,-0.042298331,-0.136269848,-0.018553314,0.110760326,0.041201087,-0.076054909,-0.253214901,-0.477029669,-0.084384192,-0.17121202
33,-0.004557839,0.055118029,-0.05105442,-0.103999138,-0.092871873,0.08035794,0.005007219,-0.039910486,-0.134440364,-0.154202739,-0.144467922,-0.020470428,0.026974496,0.053722654,0.024253882,-0.108587844,-0.041090745,0.122810674,0.008300142,-0.013627082,-0.110180642,-0.75335529,-0.224958665,-0.259620982
34,0.073446131,0.169857924,-0.168577328,-0.056524896,-0.031022314,-0.104903189,0.07344576,0.057947253,-0.065606309,-0.175720265,-0.470337596,-0.097038541,0.02760446,0.17032923,-0.155679866,-0.137040199,-0.026572807,-0.025594284,0.083051794,0.08522061,-0.034037428,-0.863973564,-0.649863929,-0.232324018
35,0.013547986,0.052242792,-0.012987013,0.004978823,-0.053801175,0.024442566,-0.000936031,-0.072392238,-0.145404082,-0.036932358,-0.107954435,0.009010825,-0.000271273,0.044788741,0.012101955,-0.04196908,-0.019839496,0.119754074,-0.007102551,-0.034258059,-0.146474747,-0.14174118,-0.16192884,-0.091763321
36,0.011079272,0.039082728,-0.043387778,-0.025593558,-0.009543086,-0.007315074,0.015286078,-0.059086135,-0.202028979,-0.391643218,-0.439051144,-0.097733095,-0.02944827,0.03294905,-0.010828525,-0.038309086,0.002376715,0.028085474,0.013597085,-0.032703188,-0.177917478,-1.024409745,-0.601574915,-0.25117083
37,0.150884572,0.134550999,-0.124245222,-0.050324233,-0.041274026,-0.034334631,0.117994673,-0.023003317,-0.024671648,0.022003586,-0.149656117,-0.146707939,0.11164929,0.136056531,-0.163723577,-0.060947386,-0.020572729,-0.000119571,0.112044693,0.011253052,-0.082795427,-0.171103183,-0.210222239,-0.414704363
38,0.045794435,0.01295485,-0.165736659,-0.028607052,-0.061129626,0.069184313,0.01281462,-0.083342327,-0.155839526,0.001687671,-0.01978494,0.00567253,0.016123923,0.008243849,-0.100397017,-0.074749103,-0.02984113,0.122278247,-0.01858645,-0.056354903,-0.170535623,-0.1249653,-0.08645228,-0.054710101
39,0.006588861,0.040505803,-0.181312301,-0.01845434,-0.08438795,-0.039077225,0.054489975,-0.118730349,-0.207452646,-0.152693767,-0.396643085,-0.065364472,-0.026284297,0.033759508,-0.064100715,-0.135137931,-0.048674825,-0.020333744,0.007091753,-0.086800335,-0.192212206,-0.50678307,-0.575721737,-0.157813758
40,0.136152606,0.082022157,-0.015653634,0.038741867,-0.039688275,0.043421426,0.113144572,-0.040635599,-0.11852755,-0.186202966,-0.21513157,-0.057439206,0.156845798,0.076058372,0.00702774,-0.096263338,0.044467258,0.053627685,0.090159091,-0.015722843,-0.079329505,-0.477081316,-0.340575962,-0.235454018
41,0.149414791,0.114412102,-0.07354458,0.02921617,-0.081877109,0.02450596,0.103945262,-0.062460657,-0.042804319,0.025546541,0.039914391,-0.020413693,0.121439198,0.114494696,-0.030503382,-0.022011287,0.028638617,0.072958317,0.083203707,-0.018823354,-0.019385228,-0.09041376,0.005517588,-0.084796491
42,0.12664217,0.069004682,0.026616982,-0.035258541,0.031011785,-0.072965355,0.070157608,-0.065781859,-0.163413206,-0.187834434,-0.092763818,-0.210925342,0.085601956,0.06497665,0.028397504,-0.164297567,0.014175966,0.026365506,0.02813653,-0.039875475,-0.13412265,-0.588098023,-0.209814515,-0.426388089
43,0.169004817,0.118058238,-0.083217376,-0.078012966,-0.065718318,0.056275409,0.060193812,-4.95E-05,-0.109912977,-0.105853442,-0.256884167,-0.073590683,0.092048932,0.110664449,-0.009849007,-0.112700927,-0.006093704,0.016311562,0.043617542,0.040279255,-0.082017516,-0.547116989,-0.381997756,-0.111049498
