,IND_diagonal_aec_alpha,IND_diagonal_aec_beta,IND_diagonal_aec_delta,IND_diagonal_aec_gamma1,IND_diagonal_aec_gamma2,IND_diagonal_aec_theta,IND_diagonal_dwpli_alpha,IND_diagonal_dwpli_beta,IND_diagonal_dwpli_delta,IND_diagonal_dwpli_gamma1,IND_diagonal_dwpli_gamma2,IND_diagonal_dwpli_theta,STD_diagonal_aec_alpha,STD_diagonal_aec_beta,STD_diagonal_aec_delta,STD_diagonal_aec_gamma1,STD_diagonal_aec_gamma2,STD_diagonal_aec_theta,STD_diagonal_dwpli_alpha,STD_diagonal_dwpli_beta,STD_diagonal_dwpli_delta,STD_diagonal_dwpli_gamma1,STD_diagonal_dwpli_gamma2,STD_diagonal_dwpli_theta
0,0.327840595,0.304273262,0.062380835,-0.099232303,0.032368208,0.446862899,0.218842923,0.057758399,-0.127314017,0.259119631,0.23170188,0.329793325,0.35103417,0.23724262,0.121351309,-0.08700394,-0.036597534,0.492352755,0.268411991,0.161915083,0.087323628,0.254517906,0.204951975,0.368300601
1,0.300618604,0.291181363,0.206334125,-0.066773176,0.030219177,0.381582213,0.202582708,0.268308258,-0.212605573,-0.019717633,0.071624375,0.292587814,0.33103535,0.308826592,0.252259431,-0.151744961,-0.006794459,0.398189649,0.25497299,0.24311532,0.078005984,0.009945949,0.004331848,0.425542627
2,0.267824728,0.300822133,0.167801593,0.055591591,0.089652207,0.479714835,0.206707924,0.170929166,-0.063170895,0.138849733,0.112811725,0.393039579,0.32650454,0.329110914,0.193266391,0.033585878,0.038303421,0.520388654,0.268123151,0.293413575,0.138374904,0.135455521,0.049542233,0.417887942
3,0.30056587,0.334635709,0.219216502,0.001758376,-0.01448874,0.423774281,0.200492993,0.147905069,-0.07491884,0.047829095,0.106768968,0.380561304,0.350650743,0.357197654,0.253180946,0.029859742,-0.056798834,0.475780861,0.252610529,0.330563868,0.172646183,0.019614304,0.049242046,0.431402414
4,0.407830136,0.487640127,0.237916283,-0.05382832,0.082776622,0.339198311,0.325537727,0.391137021,-0.068747024,0.156764231,0.212294102,0.309551306,0.445488176,0.480359005,0.258407679,-0.155835958,0.000606186,0.396534419,0.350741637,0.3988477,0.192815484,0.109649446,0.083209586,0.362355652
5,0.36470458,0.284564339,0.136075719,0.059542248,0.115458951,0.42394847,0.332391777,0.141965414,-0.018170604,0.16074469,0.133023212,0.295549447,0.396072124,0.258441395,0.133569687,-0.017407444,0.057342505,0.491891482,0.374597905,0.265828778,0.205605991,0.151833593,0.07891945,0.429782811
6,0.389967187,0.272603709,0.190515202,0.138443496,0.170762559,0.405951337,0.313424531,0.169271897,0.01950241,0.090249057,0.126075025,0.39647532,0.417950094,0.299621497,0.254449029,0.106711361,0.174475326,0.446398717,0.340639002,0.280776396,0.131831689,0.095399368,0.092939404,0.452174256
7,0.262996827,0.265966122,0.137694604,0.00245565,0.14589519,0.358303994,0.135738702,0.037376092,-0.077268543,0.16162159,0.065017104,0.221634426,0.270043461,0.246337735,0.157216464,-0.10561975,0.032522372,0.418048452,0.184285063,0.100007576,0.095866374,0.185491062,0.025007479,0.306309332
8,0.408951491,0.399535752,0.279185568,-0.024080178,0.056992563,0.284355245,0.340305079,0.263369392,0.060406445,0.107619128,0.080594039,0.31225632,0.445736193,0.390497129,0.340633299,0.019050353,0.034264052,0.343094787,0.340588666,0.332089478,0.142925533,0.118117319,0.056784079,0.397023565
9,0.325451508,0.398997113,0.269217276,0.203678787,0.29655028,0.421192226,0.301950667,0.250393479,0.075936929,0.133692523,0.177987507,0.417701999,0.381716949,0.378918884,0.26179268,0.12820587,0.257278001,0.460377381,0.32005435,0.344501204,0.180690029,0.148890261,0.129076839,0.454592117
