,IND_diagonal_aec_alpha,IND_diagonal_aec_beta,IND_diagonal_aec_delta,IND_diagonal_aec_gamma1,IND_diagonal_aec_gamma2,IND_diagonal_aec_theta,IND_diagonal_dwpli_alpha,IND_diagonal_dwpli_beta,IND_diagonal_dwpli_delta,IND_diagonal_dwpli_gamma1,IND_diagonal_dwpli_gamma2,IND_diagonal_dwpli_theta,STD_diagonal_aec_alpha,STD_diagonal_aec_beta,STD_diagonal_aec_delta,STD_diagonal_aec_gamma1,STD_diagonal_aec_gamma2,STD_diagonal_aec_theta,STD_diagonal_dwpli_alpha,STD_diagonal_dwpli_beta,STD_diagonal_dwpli_delta,STD_diagonal_dwpli_gamma1,STD_diagonal_dwpli_gamma2,STD_diagonal_dwpli_theta
0,0.094668815,0.069180519,-0.060412584,-0.073948472,-0.049433977,0.189795103,0.017919322,-0.048974142,-0.055244781,0.043696731,0.035188887,0.093091803,0.113821194,0.028202707,-0.030849051,-0.06356259,-0.075993693,0.226801904,0.054706854,0.008684498,-0.014133661,0.037169848,0.023201718,0.113445459
1,0.072237422,0.074435984,0.022814322,-0.053947297,-0.038475953,0.145169676,0.015328992,0.06707932,-0.063311039,-0.052408378,-0.024066147,0.084863379,0.101251411,0.088170383,0.051801843,-0.080306583,-0.055327299,0.158078021,0.054380159,0.055317685,-0.000927,-0.033511957,-0.050510912,0.172182816
2,0.054186704,0.081281518,0.000771291,-0.011114604,-0.01255154,0.223527777,0.019374039,0.020662675,-0.024323885,0.01140772,-0.005474312,0.142143228,0.098974763,0.103974085,0.014630497,-0.013254725,-0.027436525,0.25500322,0.065349707,0.084266959,0.017981572,0.011744231,-0.031529869,0.170130546
3,0.061591536,0.087232167,0.022938782,-0.044280273,-0.074954061,0.159604379,0.004745659,-0.010591876,-0.040299552,-0.034355023,-0.021176775,0.129092713,0.109002254,0.104640873,0.041008301,-0.036664555,-0.091848703,0.20125825,0.044891019,0.089435714,0.011367581,-0.039096842,-0.040439242,0.159418134
4,0.159670736,0.21186824,0.048967699,-0.04820666,-0.018466359,0.107657926,0.104285251,0.122344523,-0.028816771,0.017081054,0.039510125,0.088315093,0.189178193,0.203976948,0.060447871,-0.074682413,-0.052783966,0.151520336,0.122061656,0.128622145,0.030538229,0.000733889,-0.011698101,0.121535439
5,0.121917259,0.06169863,-0.009996563,-0.012795681,-0.001655819,0.172458915,0.098245993,-0.001890749,-0.024888492,0.017240876,0.005682101,0.079849262,0.144523683,0.048569352,-0.010266399,-0.032694082,-0.024640044,0.221698691,0.125451849,0.052860878,0.023233538,0.014054162,-0.012623789,0.157678219
6,0.147275035,0.05169543,0.004566433,0.00074774,0.007400179,0.155454549,0.090883252,-0.001323859,-0.026181567,-0.019902383,-0.014950117,0.130521151,0.168568908,0.073518008,0.042638329,-0.009547452,0.004786276,0.184689232,0.109210017,0.057326277,0.000720355,-0.013934865,-0.020194316,0.169646214
7,0.054449913,0.05950749,-0.018603404,-0.02652497,0.015143861,0.126062891,-0.027857858,-0.031075344,-0.028187534,0.022381787,-0.030315946,0.040035969,0.058257756,0.044725685,-0.001988711,-0.058299943,-0.027280864,0.173516315,0.010302604,-0.007060808,0.004946874,0.034188385,-0.040869155,0.091498564
8,0.161626589,0.145105993,0.068175155,-0.034188391,-0.029962556,0.063549444,0.108621019,0.057727492,-0.005190583,-0.00564395,-0.023462701,0.092577068,0.191021717,0.136124901,0.103111033,-0.023132991,-0.038700189,0.11011434,0.107709521,0.088994869,0.013574097,-0.002754246,-0.033799435,0.151066642
9,0.088051103,0.131639543,0.06142245,0.023699056,0.06807575,0.176467246,0.082717301,0.037181317,-0.010297541,-0.001830743,0.009241728,0.154814128,0.135801537,0.118298179,0.052583714,-0.000468358,0.045832954,0.20636324,0.095399258,0.091131048,0.017762104,4.13E-05,-0.011111378,0.18584695
10,0.118862787,0.063114615,0.016175196,-0.028748978,0.014739382,0.092637023,-0.053920461,-0.057620069,-0.071893116,0.003502251,-0.007821267,0.049163717,0.132147482,0.030062061,0.040677909,-0.082035865,-0.03679265,0.115471848,-0.006117561,-0.025856147,-0.042373183,-0.016516405,-0.039443367,0.073909036
11,0.153013191,0.101157471,0.058543319,-0.006372293,0.056176167,0.202390791,0.172971794,0.001943972,-0.00125219,0.062227489,0.020765345,0.118897919,0.166102163,0.055559333,0.060331724,-0.00316457,0.01045777,0.243770082,0.187653788,0.063385314,0.04588442,0.073281467,0.028346022,0.186029044
12,0.054086568,0.099497561,0.050831701,-0.046791591,-0.013110294,0.204692712,-0.008738317,-0.014769451,-0.017479196,0.01353117,0.069548062,0.079192421,0.068004301,0.084724276,0.05341305,-0.062069927,-0.024811157,0.231200131,0.012584788,0.012784366,0.036494942,0.043837255,0.016767371,0.106987447
13,0.095944548,0.076432416,0.017222252,0.014430866,0.058383483,0.102134634,0.076526422,0.04139904,-0.027373967,-0.024491531,0.013822865,0.050877382,0.126785491,0.088462691,0.017963084,-0.011923503,0.03988871,0.108152169,0.097497266,0.076423334,-0.002399768,-0.025202997,0.000777019,0.084111786
14,0.164890835,0.138132701,0.014223687,-0.036082511,0.02600429,0.23372335,0.014561415,0.037019232,-0.052836045,0.024503783,-0.000890804,0.132894053,0.184531729,0.120896244,0.054958753,-0.052683109,-0.003135889,0.27634171,0.07239733,0.068746059,-0.004921487,0.003843601,-0.026966462,0.179789527
15,0.089275573,-0.001501517,-0.012774424,-0.021628081,0.049880128,0.145557474,0.000258896,-0.094892047,-0.041456719,0.078912675,0.05612789,0.090931402,0.118908587,0.004815399,0.028396796,-0.054589103,0.031423477,0.150317353,0.006014937,-0.046216353,-0.00387347,0.073712326,0.051753811,0.104788328
16,-0.00421512,0.093805205,-0.027159865,-0.033503374,-0.006363956,0.156352267,-0.032954171,-0.022393348,-0.04016818,0.008442316,0.005490589,0.07499065,0.017685706,0.09552524,-0.012345059,-0.068759128,-0.032776388,0.149293788,0.019451487,0.031103863,0.007554185,0.009455324,-0.022157687,0.078737156
17,0.070762295,0.136470282,0.071555594,-0.022548342,-0.050332118,0.080067519,0.050905338,0.053178343,-0.03711642,-0.012961892,0.014546887,0.077577193,0.105670778,0.142367664,0.056748234,-0.062281998,-0.08688503,0.104749741,0.108874324,0.10391673,0.02858569,-0.00366774,-0.016240402,0.124799121
18,-0.001389269,0.091883525,-0.004226692,-0.051549834,-0.06486435,-0.002431831,-0.034619351,-0.005122836,-0.024408573,0.006813316,-0.056287035,0.059821088,0.028012848,0.109198642,0.006207247,-0.068024048,-0.091475712,0.021554607,-0.046384307,0.041250436,-0.008000236,0.024153527,-0.076126771,0.090391656
19,0.089425505,0.166041159,0.002244209,-0.052897137,-0.022546235,0.113075197,-0.002472049,0.034396779,-0.046406217,0.013962795,0.007217344,0.022924555,0.089124862,0.167502091,0.032431742,-0.081968781,-0.047209258,0.136102265,0.032218315,0.046130286,-0.008146951,0.007244924,-0.049787656,0.046971659
20,-0.010278449,0.091241587,-0.016399428,-0.023914455,-0.00684135,0.153642217,-0.03641009,0.018972005,-0.06350471,-0.027259563,-0.020667619,0.10581399,-0.001870237,0.08486901,0.03114822,-0.066679494,-0.027432313,0.201396095,-0.005952287,0.050092841,-0.027372872,-0.038165388,-0.061962951,0.197992769
21,0.152852926,0.092700122,0.038256744,0.005442064,-0.004061147,0.099760292,0.067237391,-0.043705481,-0.077976445,0.055661545,0.006340482,0.077123709,0.208046148,0.105028911,0.051266895,-0.022042284,-0.013566044,0.135599126,0.125103495,0.022242143,-0.008219888,0.013726025,-0.003153873,0.126457059
22,-0.045178772,0.085123804,0.015690074,-0.052370661,-0.028712894,0.225349868,-0.01303698,-0.020902332,-0.004003846,-0.015704876,-0.035157513,0.135478019,0.005545732,0.072488966,0.033930857,-0.055609284,-0.051032195,0.258095035,0.025439943,0.020214972,0.037019361,-0.010055546,-0.065079816,0.196471586
23,0.075122682,0.059500367,0.006715397,-0.050325073,0.008158444,0.11226676,-0.031921684,-0.035284484,-0.066532894,-0.017491988,-0.009955821,0.033738583,0.107998748,0.051694191,0.042758287,-0.075062499,-0.033387796,0.15088181,0.013926913,0.026368079,-0.02674287,-0.050836302,-0.043188819,0.106267003
