,IND_diagonal_aec_alpha,IND_diagonal_aec_beta,IND_diagonal_aec_delta,IND_diagonal_aec_gamma1,IND_diagonal_aec_gamma2,IND_diagonal_aec_theta,IND_diagonal_dwpli_alpha,IND_diagonal_dwpli_beta,IND_diagonal_dwpli_delta,IND_diagonal_dwpli_gamma1,IND_diagonal_dwpli_gamma2,IND_diagonal_dwpli_theta,STD_diagonal_aec_alpha,STD_diagonal_aec_beta,STD_diagonal_aec_delta,STD_diagonal_aec_gamma1,STD_diagonal_aec_gamma2,STD_diagonal_aec_theta,STD_diagonal_dwpli_alpha,STD_diagonal_dwpli_beta,STD_diagonal_dwpli_delta,STD_diagonal_dwpli_gamma1,STD_diagonal_dwpli_gamma2,STD_diagonal_dwpli_theta
0,0.37852214,0.101872624,0.222164008,-0.290857325,-0.271671862,-0.290857002,-0.233105533,-0.290488214,-0.290877711,-0.267850077,-0.071705733,-0.25170214,0.433560092,-0.015733943,0.23699388,0.050451236,-0.267266063,0.315963558,-0.300708071,-0.290466864,-0.290891047,-0.28349292,-0.060859397,-0.25611919
1,0.323686233,0.154417511,0.379062682,-0.302446245,-0.268931716,-0.302446157,-0.202543445,-0.301977226,-0.302442331,-0.296438671,-0.125386749,-0.283649883,0.320997638,0.070503628,0.238203619,0.068322319,-0.227289292,0.192666376,-0.282569696,-0.302001872,-0.302445257,-0.30145962,-0.122908275,-0.28926735
2,0.288430981,0.284258818,0.276722267,-0.133302447,-0.117425321,-0.133301724,-0.054893812,-0.132062909,-0.133341012,-0.125586192,0.050814501,-0.140361104,0.423786396,0.194253611,0.186525777,-0.094326989,-0.159133323,0.325379366,-0.128176184,-0.132196845,-0.133331962,-0.12943581,0.061926752,-0.15482901
3,0.357812562,0.214269685,0.324539717,-0.114661614,-0.112125982,-0.114661109,-0.237363348,-0.114336888,-0.114727797,-0.115688333,-0.000350827,-0.101565918,0.440188101,0.17628147,0.206319933,-0.023265044,-0.159688365,0.367289487,-0.18880567,-0.1143712,-0.114712989,-0.119187206,0.001356194,-0.106463361
4,0.421901827,0.306367392,0.294501142,-0.188135855,-0.140788639,-0.188135645,-0.119479469,-0.186822483,-0.188178083,-0.188323222,-0.015434352,-0.190695375,0.46439328,0.216814537,0.245187501,-0.096470874,-0.139271732,0.357504018,-0.197196762,-0.186986344,-0.188162631,-0.195826899,-0.008614098,-0.188077391
5,0.385175117,0.157387778,0.303418006,-0.104632482,-0.090928082,-0.104632043,-0.102052924,-0.104633036,-0.104661148,-0.104320217,0.027045656,-0.082547045,0.470588477,0.051855869,0.252217621,0.02928124,-0.082441128,0.355996521,-0.120579049,-0.104618666,-0.104640785,-0.118344193,0.018578403,-0.100590578
6,0.306830487,0.175013118,0.296728479,0.033050493,0.008901668,0.033050868,0.047508502,0.033215775,0.03303505,0.040113665,0.140679176,0.024653487,0.432444565,0.050905917,0.277542627,-0.023296118,-0.008962308,0.390022057,0.039914208,0.033242289,0.033040625,0.032871258,0.135824145,0.024251542
7,0.265145718,0.150930019,0.158309975,-0.178377785,-0.158508836,-0.178377232,-0.204922849,-0.178008503,-0.178305416,-0.162848072,-0.043828116,-0.182013704,0.36854956,0.080329626,0.211270904,-0.12793817,-0.20373617,0.222502082,-0.212150329,-0.178057945,-0.178340393,-0.171138048,-0.02854552,-0.196803079
8,0.407797215,0.238992079,0.366045057,0.022776886,0.035789812,0.022777411,-0.102279068,0.022617532,0.022742857,0.018664705,0.133186494,-0.015211259,0.512594393,0.087642645,0.251260091,0.013589918,0.036269548,0.422468837,-0.035462232,0.022819044,0.022761284,0.003527327,0.145273766,-0.018341473
9,0.389493854,0.267415416,0.395911376,0.002905249,0.019847092,0.002905294,0.055641656,0.00347188,0.002933063,0.014724771,0.135079605,-0.000791376,0.441744393,0.153523687,0.264529191,0.08108938,0.012834643,0.245599425,0.021194014,0.003554817,0.002923683,-0.002700547,0.136663778,-0.007041116
