,IND_diagonal_aec_alpha,IND_diagonal_aec_beta,IND_diagonal_aec_delta,IND_diagonal_aec_gamma1,IND_diagonal_aec_gamma2,IND_diagonal_aec_theta,IND_diagonal_dwpli_alpha,IND_diagonal_dwpli_beta,IND_diagonal_dwpli_delta,IND_diagonal_dwpli_gamma1,IND_diagonal_dwpli_gamma2,IND_diagonal_dwpli_theta,STD_diagonal_aec_alpha,STD_diagonal_aec_beta,STD_diagonal_aec_delta,STD_diagonal_aec_gamma1,STD_diagonal_aec_gamma2,STD_diagonal_aec_theta,STD_diagonal_dwpli_alpha,STD_diagonal_dwpli_beta,STD_diagonal_dwpli_delta,STD_diagonal_dwpli_gamma1,STD_diagonal_dwpli_gamma2,STD_diagonal_dwpli_theta
0,0.111659933,-0.078652518,-0.008236594,-0.057609233,-0.056051287,-0.057609192,-0.080677486,-0.057606289,-0.057612477,-0.054445353,-0.039169982,-0.058621167,0.158969093,-0.251541172,0.019487703,-0.176228646,-0.057357677,0.078057225,-0.067423264,-0.057585332,-0.057611395,-0.056829567,-0.038513268,-0.059633922
1,0.025446328,-0.041691464,0.133061566,-0.047858365,-0.04416884,-0.047858339,-0.067840746,-0.047852873,-0.047861948,-0.04660352,-0.038066413,-0.043206225,-0.02971149,-0.193798588,0.021881736,-0.133404109,-0.038637419,-0.025197838,-0.052764992,-0.047832932,-0.047860367,-0.048018716,-0.039807848,-0.043428333
2,-0.015141663,0.024671348,0.023634786,-0.022582347,-0.020934119,-0.022582256,-0.022207725,-0.022446858,-0.02258684,-0.020989982,-0.00179591,-0.022843897,0.130435095,-0.087059742,-0.072130622,-0.075217797,-0.026103428,0.10324886,-0.025846715,-0.02245982,-0.022584879,-0.022071556,-0.000686916,-0.024935947
3,0.044134159,-0.022878388,0.046949354,-0.033728424,-0.034031511,-0.033728358,-0.090967185,-0.033690018,-0.033737029,-0.03386044,-0.026339486,-0.035568892,0.148104844,-0.06696231,-0.078356757,-0.07309647,-0.040721391,0.120672909,-0.051469803,-0.03369362,-0.033733727,-0.034416012,-0.027250382,-0.036904936
4,0.133630085,0.054579683,0.044930658,-0.030699489,-0.025350552,-0.030699467,-0.042296804,-0.030569752,-0.030702012,-0.030251973,-0.016098798,-0.032511814,0.192872789,-0.041121598,0.01119958,-0.120519184,-0.027528554,0.123087853,-0.039037582,-0.030584991,-0.030700009,-0.031692411,-0.01567967,-0.03132159
5,0.124969126,-0.016340976,0.075325415,-0.027253916,-0.025986894,-0.027253868,-0.037925736,-0.027253426,-0.027256878,-0.027216391,-0.014761522,-0.025387953,0.209987137,-0.099867016,0.043671242,-0.096087576,-0.025153002,0.117734049,-0.033227358,-0.027251916,-0.027254907,-0.028830737,-0.015937986,-0.027635778
6,0.046821313,-0.030356013,0.056882136,-0.017754007,-0.021025381,-0.017753961,-0.016792473,-0.017731524,-0.017757331,-0.017185266,-0.002225995,-0.017570724,0.160756982,-0.174205756,0.049955681,-0.128582179,-0.021689113,0.140645541,-0.017550709,-0.017727867,-0.017755912,-0.017860423,-0.002822579,-0.017925742
7,0.002618791,-0.070691421,-0.082174389,-0.02715635,-0.024902485,-0.027156277,-0.064202107,-0.027119675,-0.027146406,-0.02487356,-0.016657711,-0.03257441,0.090785722,-0.18833228,-0.015529239,-0.09168068,-0.032099879,-0.011012346,-0.036724711,-0.027124329,-0.027149852,-0.026502286,-0.016149846,-0.035371211
8,0.094347619,0.024270878,0.110134426,-0.008890122,-0.007340441,-0.008890057,-0.041513719,-0.00890466,-0.008894696,-0.009631219,0.006044908,-0.015478368,0.252237314,-0.105336043,-0.016728693,-0.059958068,-0.007445889,0.177392669,-0.017582978,-0.008882349,-0.008892287,-0.011378777,0.008292314,-0.016402886
9,0.107945178,0.01694355,0.147588174,-0.018227196,-0.016001462,-0.018227184,-0.012635002,-0.018147598,-0.018225001,-0.016918135,-0.001488,-0.017547853,0.141721391,-0.128955483,0.041546044,-0.085931855,-0.015590097,0.021564078,-0.017660577,-0.018139796,-0.018225472,-0.018868258,-0.001024412,-0.018734942
