,IND_diagonal_aec_alpha,IND_diagonal_aec_beta,IND_diagonal_aec_delta,IND_diagonal_aec_gamma1,IND_diagonal_aec_gamma2,IND_diagonal_aec_theta,IND_diagonal_dwpli_alpha,IND_diagonal_dwpli_beta,IND_diagonal_dwpli_delta,IND_diagonal_dwpli_gamma1,IND_diagonal_dwpli_gamma2,IND_diagonal_dwpli_theta,STD_diagonal_aec_alpha,STD_diagonal_aec_beta,STD_diagonal_aec_delta,STD_diagonal_aec_gamma1,STD_diagonal_aec_gamma2,STD_diagonal_aec_theta,STD_diagonal_dwpli_alpha,STD_diagonal_dwpli_beta,STD_diagonal_dwpli_delta,STD_diagonal_dwpli_gamma1,STD_diagonal_dwpli_gamma2,STD_diagonal_dwpli_theta
0,0.327461288,0.271656186,0.186275158,-0.195338447,-0.058461369,0.449324988,0.205556322,0.222504879,0.018459503,0.242604692,0.143548267,0.332470188,0.381454342,0.193520331,0.15954655,0.031881673,-0.128945214,0.498412109,0.294427336,0.110306242,0.239770103,0.164273473,0.277804185,0.287016744
1,0.30714668,0.221335738,0.247785857,-0.032896865,-0.077723566,0.393754372,0.122696193,0.320612996,-0.060094359,0.091996364,-0.016581327,0.345882821,0.336603517,0.287592793,0.087399315,-0.050035347,-0.095988479,0.427492775,0.322874435,0.324590037,0.160532449,0.035202295,0.00755568,0.295469866
2,0.277834282,0.33272443,0.23185751,0.014151986,-0.077675147,0.507490543,0.234730828,0.205523608,0.005676401,0.213638397,-0.005746407,0.407953656,0.327198957,0.257610856,0.145513582,0.146460621,-0.030687347,0.495369167,0.234546991,0.250849652,0.227876489,0.126463815,0.128944514,0.314325878
3,0.335149076,0.288197977,0.249427501,0.07467472,-0.12008873,0.456141879,0.23143494,0.168079226,0.058453361,0.111082915,0.038101508,0.375350942,0.355575775,0.250684939,0.152246108,0.012613913,-0.067887213,0.49803588,0.259987881,0.203450774,0.300894383,-0.080171179,0.028192522,0.324774576
4,0.418989298,0.466566663,0.212446133,0.019733967,-0.079117133,0.338222442,0.241521862,0.344596041,-0.013475026,0.238468419,0.112825569,0.297132676,0.424811549,0.400206491,0.094625771,0.073388917,-0.141135104,0.388294925,0.377393994,0.337523266,0.227940346,0.090394236,0.086907933,0.224880433
5,0.342928244,0.302709692,0.217466738,0.016408549,-0.027660094,0.413570579,0.320999717,0.290404764,0.167204316,0.192423708,0.030725449,0.357833464,0.368305121,0.164545185,0.060913238,0.067572825,0.00603395,0.466946336,0.385982454,0.209788282,0.346368888,0.177751244,0.052052227,0.331600729
6,0.326892279,0.30055532,0.292256981,0.097779296,0.069638166,0.396770297,0.282755693,0.207582794,0.02530948,0.12853274,-0.01320682,0.418359382,0.423330796,0.185074079,0.149689124,0.190317486,0.087963408,0.442013281,0.343005538,0.188550161,0.194483137,0.132255103,0.081909221,0.365060003
7,0.257852687,0.269907359,0.238988445,-0.019608751,-0.124978865,0.364861205,0.184732271,0.081324778,0.106115543,0.227185621,0.048483914,0.248327959,0.271516308,0.111793035,0.138519705,0.057010746,-0.057713665,0.385923598,0.170465846,0.090290953,0.185506967,0.119876619,0.039074981,0.34179267
8,0.446804387,0.388536232,0.318142928,0.066903315,-0.125602591,0.309617863,0.320742199,0.236051418,0.013579184,0.137647839,-0.032423971,0.316430779,0.413989602,0.226638256,0.209056379,0.038833397,-0.046999218,0.377634984,0.369975278,0.177339056,0.313950758,-0.048488473,0.075382375,0.267183103
9,0.325539599,0.359635314,0.270587285,0.193379857,0.180209214,0.368726081,0.304039291,0.281656064,0.161266788,0.262470906,0.124165238,0.477652618,0.352050219,0.281439879,0.138545833,0.211332909,0.223175421,0.425201121,0.326759324,0.257305036,0.376987616,0.236674961,0.221240081,0.404208445
