,IND_diagonal_aec_alpha,IND_diagonal_aec_beta,IND_diagonal_aec_delta,IND_diagonal_aec_gamma1,IND_diagonal_aec_gamma2,IND_diagonal_aec_theta,IND_diagonal_dwpli_alpha,IND_diagonal_dwpli_beta,IND_diagonal_dwpli_delta,IND_diagonal_dwpli_gamma1,IND_diagonal_dwpli_gamma2,IND_diagonal_dwpli_theta,STD_diagonal_aec_alpha,STD_diagonal_aec_beta,STD_diagonal_aec_delta,STD_diagonal_aec_gamma1,STD_diagonal_aec_gamma2,STD_diagonal_aec_theta,STD_diagonal_dwpli_alpha,STD_diagonal_dwpli_beta,STD_diagonal_dwpli_delta,STD_diagonal_dwpli_gamma1,STD_diagonal_dwpli_gamma2,STD_diagonal_dwpli_theta
0,0.08756581,0.051861267,-0.047029127,-0.163097382,-0.092114808,0.188312951,0.003557145,0.032118703,-0.080389024,0.028194534,-0.019075803,0.09239583,0.118290237,0.001681419,-0.064303212,-0.036745991,-0.096688053,0.239954543,0.068708887,-0.063869033,0.037866004,-0.033181017,0.047064979,0.00157377
1,0.066861055,0.025676527,-0.021708754,-0.081858315,-0.075692325,0.147396944,-0.063442228,0.101441514,-0.107117597,-0.055594915,-0.124185896,0.11547755,0.036130413,0.074519995,-0.162928259,-0.056883995,-0.072389712,0.176624853,0.092788602,0.09912411,0.01618611,-0.133905237,-0.073300202,0.026281253
2,0.053795597,0.105505047,-0.030117829,-0.060126422,-0.078153184,0.256070379,0.026901275,0.013859671,-0.082916395,0.020870998,-0.091525187,0.165734538,0.067653995,0.05838879,-0.102703922,0.018703168,-0.039513034,0.245112111,0.028163068,0.035912335,0.049322829,-0.073100701,-0.013931831,-0.000777712
3,0.080387733,0.058137898,-0.02528196,-0.045828391,-0.122035832,0.190791126,0.011163655,-0.006258255,-0.062007879,-0.06294293,-0.084630481,0.119574321,0.063403268,0.026375758,-0.08753823,-0.051089389,-0.07930045,0.221884416,0.042327237,-0.016793678,0.063114127,-0.193288616,-0.075276094,0.015658399
4,0.16527985,0.199111068,-0.022337203,-0.046847678,-0.0789451,0.089109804,0.03911415,0.116431009,-0.106455546,0.043778526,-0.017849779,0.071638821,0.167170645,0.145359764,-0.137488831,-0.011056007,-0.086139166,0.136268135,0.141629065,0.109087586,0.044918658,-0.063641144,-0.029449933,-0.077407911
5,0.107139026,0.082858392,0.003233986,-0.050416999,-0.054024122,0.165575732,0.09209306,0.066737895,0.015070546,0.02226635,-0.06955715,0.116607784,0.111708765,-0.001243879,-0.124397503,-0.011642132,-0.033147074,0.210653724,0.145548997,0.014904834,0.094728073,-0.007612366,-0.044518866,0.077907376
6,0.087255058,0.078537345,0.035329123,-0.030629542,-0.043610387,0.133533842,0.06272808,0.018720753,-0.076268749,-0.034160054,-0.125471092,0.15306722,0.155685736,-0.007207208,-0.090662205,0.021998776,-0.019997667,0.176426666,0.114292771,-0.02476584,0.019618835,-0.054060301,-0.047355484,0.076658961
7,0.021349913,0.057076221,-0.01449674,-0.083363955,-0.102851992,0.115349384,-0.002591185,-0.038397614,-0.022697383,0.040762545,-0.077728899,0.040507114,-0.000544645,-0.042331136,-0.103948481,-0.014166023,-0.047339347,0.142906777,-0.021577336,-0.07425857,0.030069822,-0.054068644,-0.053037721,0.07755134
8,0.195370378,0.141831146,0.076347484,-0.025985897,-0.11654756,0.068276417,0.089784714,0.048635824,-0.057642231,-0.01943228,-0.126492462,0.084995495,0.150866704,0.025476905,-0.028140693,-0.02821264,-0.061277559,0.129002833,0.134332902,-0.008192121,0.08596293,-0.174920428,-0.052989023,-0.015531596
9,0.083073799,0.114583926,0.016074783,0.016934185,0.00952884,0.124650143,0.076628134,0.067360679,0.003733627,0.048323716,-0.028443188,0.217261056,0.08236004,0.053049678,-0.097072317,0.025179356,0.029211244,0.177665815,0.097566072,0.0180256,0.109365155,0.014855515,0.028280332,0.123707185
10,0.063071503,0.033598786,0.060686285,-0.084490375,-0.082151969,0.126654037,-0.070531587,-0.0712093,-0.105309037,0.019205728,-0.077215014,0.043202385,0.08070835,-0.021476728,-0.089343869,-0.025960521,-0.068718798,0.070882177,0.008839725,-0.05611747,-0.007708404,-0.103635713,-0.016704128,-0.175641612
