,fold_0,fold_1,fold_2,fold_3
IND_diagonal_aec_alpha,0.548722047,0.297903444,0.334253967,0.503346717
IND_diagonal_aec_beta,0.39676884,0.328659278,0.295972522,0.350944399
IND_diagonal_aec_delta,0.318938572,0.464853702,0.347239445,0.205157292
IND_diagonal_aec_gamma1,0.016617398,-0.270520119,0.031124625,0.187796599
IND_diagonal_aec_gamma2,0.221077481,-0.102337065,0.207628474,0.308906157
IND_diagonal_aec_theta,0.531013191,0.365338187,0.237163406,0.212688175
IND_diagonal_dwpli_alpha,0.296095046,0.259805486,0.478484469,0.46195576
IND_diagonal_dwpli_beta,0.167367097,0.233227146,0.3155867,0.221003634
IND_diagonal_dwpli_delta,,0.130343751,,
IND_diagonal_dwpli_gamma1,0.224929595,,,
IND_diagonal_dwpli_gamma2,,0.037026988,,0.156342145
IND_diagonal_dwpli_theta,0.509960961,0.441722724,0.156649159,0.173545578
STD_diagonal_aec_alpha,0.559661668,0.357966797,0.365702766,0.468301393
STD_diagonal_aec_beta,0.350765151,0.289819417,0.273275548,0.355046197
STD_diagonal_aec_delta,,0.123892218,0.491269767,0.20593139
STD_diagonal_aec_gamma1,,-0.144806901,0.090880148,0.142507394
STD_diagonal_aec_gamma2,0.232709713,-0.007322631,0.095100045,0.285972591
STD_diagonal_aec_theta,0.549971469,0.453673633,0.333252816,0.235287392
STD_diagonal_dwpli_alpha,0.324475794,0.19275558,0.232142085,0.435023544
STD_diagonal_dwpli_beta,0.197884058,0.015230962,0.359787787,0.228605926
STD_diagonal_dwpli_delta,,0.063029441,,
STD_diagonal_dwpli_gamma1,0.006553157,,,
STD_diagonal_dwpli_gamma2,,,-0.039648931,
STD_diagonal_dwpli_theta,0.547251787,0.317179962,0.265361133,0.30412028
