,fold_0,fold_1,fold_2,fold_3
IND_diagonal_aec_alpha,0.166389812,-0.039830076,-0.005221823,0.242664987
IND_diagonal_aec_beta,0.05560861,0.055452807,0.054990884,0.065736281
IND_diagonal_aec_delta,-0.000540145,0.159640121,0.075963994,-0.168425993
IND_diagonal_aec_gamma1,-0.114974042,-0.625862528,-0.115169128,0.015541616
IND_diagonal_aec_gamma2,-0.037181524,-0.104321633,-0.025085114,0.058368998
IND_diagonal_aec_theta,0.006986345,0.127259386,-0.018865464,0.044182293
IND_diagonal_dwpli_alpha,-0.04368738,-0.033544187,0.131875127,0.207502716
IND_diagonal_dwpli_beta,-0.08932602,0.000123475,-0.009623207,0.033777399
IND_diagonal_dwpli_delta,-0.115902306,-0.028218892,-0.056731094,-1.83E-05
IND_diagonal_dwpli_gamma1,-0.098940867,-0.046459248,-0.056731094,-1.83E-05
IND_diagonal_dwpli_gamma2,-0.115902306,-0.042479746,-0.056731094,0.000958026
IND_diagonal_dwpli_theta,-0.014004513,0.060786957,-0.348542714,0.021491973
STD_diagonal_aec_alpha,0.203568557,0.014454241,0.039708891,0.2166511
STD_diagonal_aec_beta,0.037136293,0.033890974,0.02818134,0.115438455
STD_diagonal_aec_delta,-0.115902306,-0.112336839,0.189209917,-0.078060556
STD_diagonal_aec_gamma1,-0.115902306,-0.267345158,-0.123593137,0.011116774
STD_diagonal_aec_gamma2,-0.087245647,-0.053424156,-0.059818507,0.031041031
STD_diagonal_aec_theta,0.161371426,0.165640806,-0.077056659,0.033509898
STD_diagonal_dwpli_alpha,-0.031850896,-0.041059144,-0.006381233,0.128084641
STD_diagonal_dwpli_beta,-0.079106232,-0.051612006,-0.03199004,0.031538827
STD_diagonal_dwpli_delta,-0.115902306,-0.04407798,-0.056731094,-1.83E-05
STD_diagonal_dwpli_gamma1,-0.110726727,-0.046459248,-0.056731094,-1.83E-05
STD_diagonal_dwpli_gamma2,-0.115902306,-0.046459248,-0.06453429,-1.83E-05
STD_diagonal_dwpli_theta,0.008523001,0.049253035,0.030037515,0.080898889
