,fold_0,fold_1,fold_2,fold_3
IND_diagonal_aec_alpha,0.495464149,0.283320249,0.327857212,0.476519476
IND_diagonal_aec_beta,0.238761791,0.295772362,0.284982382,0.313619148
IND_diagonal_aec_delta,0.269332035,0.397699645,0.368324843,0.172578214
IND_diagonal_aec_gamma1,,,,
IND_diagonal_aec_gamma2,0.120995801,0.159657641,-0.07274565,0.030892112
IND_diagonal_aec_theta,0.261427778,0.125666645,0.114923896,0.295236249
IND_diagonal_dwpli_alpha,-0.084995045,-0.066391011,-0.148492382,-0.476642548
IND_diagonal_dwpli_beta,0.14944214,0.049286662,0.245094307,
IND_diagonal_dwpli_delta,-0.085090056,-0.146262046,,
IND_diagonal_dwpli_gamma1,0.235899913,,,0.014059163
IND_diagonal_dwpli_gamma2,0.203217207,0.247956676,0.344360332,0.184278168
IND_diagonal_dwpli_theta,0.112927146,-0.169690279,-0.066331997,0.193614277
STD_diagonal_aec_alpha,0.585547359,0.382072879,0.401389213,0.473076575
STD_diagonal_aec_beta,0.03386877,0.264292947,0.135851669,0.18447738
STD_diagonal_aec_delta,0.186916202,0.285564947,0.510717106,0.246617912
STD_diagonal_aec_gamma1,,,0.054868822,
STD_diagonal_aec_gamma2,0.129117565,0.308574385,-0.090769345,0.066466948
STD_diagonal_aec_theta,0.400340163,0.169583068,0.06882355,0.325974355
STD_diagonal_dwpli_alpha,-0.129885684,-0.062310177,-0.14509021,-0.447267316
STD_diagonal_dwpli_beta,0.150298787,0.123739469,0.137635669,
STD_diagonal_dwpli_delta,-0.06724945,,0.077251769,
STD_diagonal_dwpli_gamma1,0.218033994,,,-0.040403134
STD_diagonal_dwpli_gamma2,0.210863348,0.216117585,0.352612891,0.167321023
STD_diagonal_dwpli_theta,,-0.06970053,-0.083713197,0.207975397
