,fold_0,fold_1,fold_2,fold_3
IND_diagonal_aec_alpha,0.165893769,-0.096657708,-0.109350476,0.196540557
IND_diagonal_aec_beta,0.015148092,-0.009971088,0.045607163,-0.01350766
IND_diagonal_aec_delta,-0.043207024,0.095676914,0.101310603,-0.182432034
IND_diagonal_aec_gamma1,-0.115902306,-0.046459248,-0.056731094,-1.83E-05
IND_diagonal_aec_gamma2,-0.117682643,-0.046459243,-0.075184513,0.000848097
IND_diagonal_aec_theta,-0.115902186,-0.046458582,-0.056731087,-1.81E-05
IND_diagonal_dwpli_alpha,-0.12752734,-0.116009323,-0.056784135,-2.03E-05
IND_diagonal_dwpli_beta,-0.115207795,-0.046475776,-0.056647599,-1.83E-05
IND_diagonal_dwpli_delta,-0.115903752,-0.046459248,-0.056731094,-1.83E-05
IND_diagonal_dwpli_gamma1,-0.115336161,-0.046459248,-0.056731094,0.000186221
IND_diagonal_dwpli_gamma2,-0.112774335,0.008581922,-0.050466826,0.022956312
IND_diagonal_dwpli_theta,-0.115770647,-0.046459248,-0.079112172,0.008449904
STD_diagonal_aec_alpha,0.272641761,-0.028191499,0.04687015,0.174977127
STD_diagonal_aec_beta,-0.17306719,-0.124233803,-0.056730775,-0.105433807
STD_diagonal_aec_delta,-0.115902306,-0.050092493,0.215185164,-0.137717381
STD_diagonal_aec_gamma1,-0.115902306,-0.046459248,-0.388546285,-1.83E-05
STD_diagonal_aec_gamma2,-0.118146756,-0.044775173,-0.08293833,0.002938974
STD_diagonal_aec_theta,0.106732466,-0.046458821,-0.056731094,0.007365273
STD_diagonal_dwpli_alpha,-0.127041782,-0.085027181,-0.056739847,-1.83E-05
STD_diagonal_dwpli_beta,-0.115477864,-0.045943897,-0.056715538,-1.83E-05
STD_diagonal_dwpli_delta,-0.115898168,-0.046459248,-0.056648336,-1.83E-05
STD_diagonal_dwpli_gamma1,-0.115510424,-0.046459248,-0.056731094,-0.001348358
STD_diagonal_dwpli_gamma2,-0.112060688,0.010387652,-0.049189362,0.02043867
STD_diagonal_dwpli_theta,-0.115902306,-0.046459248,-0.081898675,0.00613936
