,fold_0,fold_1,fold_2,fold_3
IND_diagonal_aec_alpha,0.471307064,0.276684032,0.368485737,0.482349414
IND_diagonal_aec_beta,0.380670796,0.306477152,0.345323724,0.425995098
IND_diagonal_aec_delta,0.266158037,-0.028949253,0.361317714,0.162358846
IND_diagonal_aec_gamma1,0.143252675,0.076509096,0.077725044,0.153502181
IND_diagonal_aec_gamma2,0.269661586,0.128536084,-0.008956631,-0.056652008
IND_diagonal_aec_theta,0.521843769,0.450524957,0.295708054,0.108513203
IND_diagonal_dwpli_alpha,0.270248465,0.234111979,0.402727993,0.440819007
IND_diagonal_dwpli_beta,0.099928249,0.255143653,0.364943484,0.134254479
IND_diagonal_dwpli_delta,-0.142516586,0.035857509,-0.230194669,0.167478181
IND_diagonal_dwpli_gamma1,0.110215971,-0.056529262,-0.081923855,0.256620841
IND_diagonal_dwpli_gamma2,0.24838113,-0.056139618,-0.153354674,0.243497544
IND_diagonal_dwpli_theta,0.404755682,0.213992542,0.212397947,0.096615258
STD_diagonal_aec_alpha,0.464026305,0.382431012,0.3443256,0.479049201
STD_diagonal_aec_beta,0.379402041,0.285165695,0.339395504,0.422934626
STD_diagonal_aec_delta,0.422835735,-0.033004765,0.507953391,0.228500601
STD_diagonal_aec_gamma1,0.131761572,0.061595923,0.038778868,0.158956313
STD_diagonal_aec_gamma2,0.246331698,0.139753353,-0.011847688,0.208592217
STD_diagonal_aec_theta,0.538401354,0.391607853,0.233081533,0.121303416
STD_diagonal_dwpli_alpha,0.264288614,0.174740169,0.415688694,0.435323911
STD_diagonal_dwpli_beta,0.081298321,0.239707667,0.39069479,0.187624065
STD_diagonal_dwpli_delta,0.052394075,0.061569559,-0.121346657,0.151538432
STD_diagonal_dwpli_gamma1,-0.029208455,-0.065745999,-0.196864688,0.193510478
STD_diagonal_dwpli_gamma2,0.185411881,-0.100000147,-0.169687493,0.185860006
STD_diagonal_dwpli_theta,0.427350806,0.139833162,0.286283481,0.138993858
