,fold_0,fold_1,fold_2,fold_3
IND_diagonal_aec_alpha,0.065057574,-0.076695742,-0.016411768,0.210009676
IND_diagonal_aec_beta,0.061641097,0.03207261,0.093305149,0.16955353
IND_diagonal_aec_delta,-0.045511768,-0.250962877,0.093456632,-0.208125186
IND_diagonal_aec_gamma1,-0.085375232,-0.06866423,-0.215441734,0.022543091
IND_diagonal_aec_gamma2,-0.047493115,-0.085747002,-0.101426777,-0.080236113
IND_diagonal_aec_theta,0.070315562,0.186369419,-0.397715925,-0.070743905
IND_diagonal_dwpli_alpha,-0.082351138,-0.070024947,0.094208945,0.18094085
IND_diagonal_dwpli_beta,-0.144339424,0.010557278,0.07984064,-0.025273338
IND_diagonal_dwpli_delta,-0.304417637,-0.14896702,-0.213957995,0.014506271
IND_diagonal_dwpli_gamma1,-0.153493292,-0.070804673,-0.500544507,0.046469932
IND_diagonal_dwpli_gamma2,-0.142170029,-0.13013565,-1.073947852,0.058812909
IND_diagonal_dwpli_theta,0.060093681,-0.023788045,-0.40235129,-0.066096978
STD_diagonal_aec_alpha,0.059132777,-0.045774285,-0.058847449,0.175026294
STD_diagonal_aec_beta,0.059757452,0.014997933,0.089094221,0.166221727
STD_diagonal_aec_delta,0.020654016,-0.257011619,0.21226827,-0.20341235
STD_diagonal_aec_gamma1,-0.090898689,-0.089013423,-0.433324077,0.024710268
STD_diagonal_aec_gamma2,-0.061342453,-0.066374451,-0.100381035,0.041427986
STD_diagonal_aec_theta,0.093322314,0.126844227,-0.132159989,-0.076109927
STD_diagonal_dwpli_alpha,-0.084458817,-0.095675611,0.08253095,0.180087796
STD_diagonal_dwpli_beta,-0.149989414,0.002942831,0.097420164,0.033436147
STD_diagonal_dwpli_delta,-0.182338234,-0.169655182,-0.1841894,-0.101000978
STD_diagonal_dwpli_gamma1,-0.618456978,-0.083373414,-1.721441919,-0.013194246
STD_diagonal_dwpli_gamma2,-0.261929553,-0.153531734,-1.394331355,0.031975938
STD_diagonal_dwpli_theta,0.096454857,-0.302485452,-0.690067726,-0.038715239
