,fold_0,fold_1,fold_2,fold_3
IND_diagonal_aec_alpha,0.543040244,0.260163386,0.41543464,0.544891721
IND_diagonal_aec_beta,0.346298994,0.345951361,0.378132972,0.394126559
IND_diagonal_aec_delta,0.531535641,-0.020002268,0.386285313,0.16286673
IND_diagonal_aec_gamma1,0.20908709,-0.019529282,0.010942187,0.155040968
IND_diagonal_aec_gamma2,0.287816092,0.042974883,0.157407072,0.124856643
IND_diagonal_aec_theta,0.475162583,0.402907081,0.337448225,0.336698291
IND_diagonal_dwpli_alpha,0.237046917,0.216812547,0.587295862,0.485807718
IND_diagonal_dwpli_beta,0.217965647,0.139497042,0.395839782,0.133761941
IND_diagonal_dwpli_delta,-0.021059181,0.155791389,0.020393765,0.091018738
IND_diagonal_dwpli_gamma1,0.384698737,-0.05758064,0.081483006,0.209600118
IND_diagonal_dwpli_gamma2,0.324534921,0.073519337,0.044015301,0.257132845
IND_diagonal_dwpli_theta,0.540341532,0.447665701,0.220279838,0.225008528
STD_diagonal_aec_alpha,0.546993457,0.285383669,0.428148742,0.52465081
STD_diagonal_aec_beta,0.35506141,0.311835675,0.392439273,0.37370852
STD_diagonal_aec_delta,0.615240509,-0.055200405,0.434049918,0.193036739
STD_diagonal_aec_gamma1,0.060152269,-0.095655227,0.131711214,0.002650118
STD_diagonal_aec_gamma2,0.23270173,-0.100364939,0.039431199,0.181294163
STD_diagonal_aec_theta,0.494366957,0.452194841,0.380501758,0.388907741
STD_diagonal_dwpli_alpha,0.281072112,0.226810581,0.615075753,0.470695161
STD_diagonal_dwpli_beta,0.289911277,0.276470469,0.457483853,0.180209583
STD_diagonal_dwpli_delta,0.256996709,0.344170825,0.1687054,0.190362947
STD_diagonal_dwpli_gamma1,0.10513964,0.030733267,0.283679568,0.254632545
STD_diagonal_dwpli_gamma2,0.303360149,-0.009762827,-0.040792416,0.269480118
STD_diagonal_dwpli_theta,0.609964852,0.452505739,0.293911787,0.325368201
