,fold_0,fold_1,fold_2,fold_3
IND_diagonal_aec_alpha,0.130177054,-0.106434152,0.079093357,0.256665409
IND_diagonal_aec_beta,0.028145814,0.086081946,0.107278961,0.149350837
IND_diagonal_aec_delta,0.081257582,-0.259478553,0.093583473,0.012037086
IND_diagonal_aec_gamma1,-0.058740262,-0.095017832,-0.08351035,0.023891299
IND_diagonal_aec_gamma2,-0.014743799,-0.090580688,-0.049803365,0.010721554
IND_diagonal_aec_theta,0.148158885,0.147454275,0.069859514,0.105105873
IND_diagonal_dwpli_alpha,-0.089229953,-0.11052062,0.196824101,0.191963477
IND_diagonal_dwpli_beta,-0.05397759,-0.04686011,0.040329717,0.008237848
IND_diagonal_dwpli_delta,-0.129889518,-0.033490365,-0.063397253,0.007977192
IND_diagonal_dwpli_gamma1,0.013022061,-0.095267161,-0.050432665,0.042118509
IND_diagonal_dwpli_gamma2,-0.00824685,-0.044382184,-0.091856773,0.063003327
IND_diagonal_dwpli_theta,0.103717478,0.137793097,-0.011262792,0.039035933
STD_diagonal_aec_alpha,0.161468613,-0.053093961,0.090352958,0.244412944
STD_diagonal_aec_beta,0.032750156,0.051874163,0.118682564,0.134199017
STD_diagonal_aec_delta,0.129228993,-0.282929372,0.128388816,0.025817725
STD_diagonal_aec_gamma1,-0.10216361,-0.09475952,-0.041467079,-0.026541177
STD_diagonal_aec_gamma2,-0.048854419,-0.120594863,-0.10878363,0.03268202
STD_diagonal_aec_theta,0.157000029,0.191461229,0.114042782,0.148511393
STD_diagonal_dwpli_alpha,-0.029464228,-0.081916302,0.245863587,0.180748375
STD_diagonal_dwpli_beta,-0.0065421,0.032550416,0.071796526,0.031725567
STD_diagonal_dwpli_delta,-0.059192221,0.012938385,-0.026520114,0.034258727
STD_diagonal_dwpli_gamma1,-0.087528633,-0.052595955,0.041746035,0.054873885
STD_diagonal_dwpli_gamma2,-0.033699983,-0.092047303,-0.129544826,0.063424442
STD_diagonal_dwpli_theta,0.164333651,0.160960964,0.030070173,0.103193677
