,fold_0,fold_1,fold_2,fold_3
IND_diagonal_aec_alpha,0.495503028,0.271661886,0.324081208,0.470607755
IND_diagonal_aec_beta,0.21479397,0.302687282,0.124754902,0.307828335
IND_diagonal_aec_delta,0.268164113,0.408315753,0.382229032,0.175221624
IND_diagonal_aec_gamma1,0.138509972,,-0.0784956,-0.16053857
IND_diagonal_aec_gamma2,0.138189001,0.316222962,-0.045613987,0.030120915
IND_diagonal_aec_theta,0.255261911,0.112300261,0.128577269,0.301590044
IND_diagonal_dwpli_alpha,-0.08510298,-0.07570876,-0.156371067,-0.506463869
IND_diagonal_dwpli_beta,-0.112228392,0.045976322,0.239873436,
IND_diagonal_dwpli_delta,-0.083235203,,0.076686661,0.06081816
IND_diagonal_dwpli_gamma1,0.243260987,0.171909606,,0.015004308
IND_diagonal_dwpli_gamma2,0.203705947,0.249257816,0.345697635,0.184039353
IND_diagonal_dwpli_theta,-0.009296612,,-0.065519851,0.194771019
STD_diagonal_aec_alpha,0.582658981,0.375156595,0.415124812,0.458666184
STD_diagonal_aec_beta,0.005519339,0.256858568,0.131377295,0.176079108
STD_diagonal_aec_delta,0.218530674,0.300022247,0.527708481,0.249904077
STD_diagonal_aec_gamma1,-0.202716856,,0.049339932,-0.195902558
STD_diagonal_aec_gamma2,0.147622091,0.322822903,-0.093689867,0.066720868
STD_diagonal_aec_theta,0.411933329,0.1203733,0.102261188,0.329149616
STD_diagonal_dwpli_alpha,-0.129924173,-0.068020975,-0.144204542,-0.446376097
STD_diagonal_dwpli_beta,0.136982601,0.123451391,0.126663237,
STD_diagonal_dwpli_delta,-0.070757997,,-0.06938986,0.060812584
STD_diagonal_dwpli_gamma1,0.232933892,0.12919821,,-0.038646719
STD_diagonal_dwpli_gamma2,0.211379252,0.218052103,0.352653686,0.167168554
STD_diagonal_dwpli_theta,-0.011452333,,-0.08308529,0.20502882
