,fold_0,fold_1,fold_2,fold_3
IND_diagonal_aec_alpha,0.164662937,-0.107390736,-0.116918308,0.189438336
IND_diagonal_aec_beta,-0.000267522,0.005467132,-0.061460559,-0.01839802
IND_diagonal_aec_delta,-0.04343825,0.11591813,0.113129881,-0.167425578
IND_diagonal_aec_gamma1,-0.10779234,-0.044796385,-0.061460562,-5.94E-05
IND_diagonal_aec_gamma2,-0.107773276,-0.043356597,-0.061463891,0.000801657
IND_diagonal_aec_theta,-0.107792337,-0.044796283,-0.061460562,-5.92E-05
IND_diagonal_dwpli_alpha,-0.125704617,-0.122233945,-0.061464089,-0.000750731
IND_diagonal_dwpli_beta,-0.107792982,-0.044789944,-0.061460176,-5.94E-05
IND_diagonal_dwpli_delta,-0.107803043,-0.044796385,-0.061460562,-5.94E-05
IND_diagonal_dwpli_gamma1,-0.107760367,-0.038725072,-0.061460562,0.000182854
IND_diagonal_dwpli_gamma2,-0.107260477,-0.004197018,-0.061279416,0.023402653
IND_diagonal_dwpli_theta,-0.10779234,-0.044796385,-0.068608902,0.008871023
STD_diagonal_aec_alpha,0.268000278,-0.03962876,0.058198571,0.157675006
STD_diagonal_aec_beta,-0.193044157,-0.12199105,-0.061460561,-0.114011242
STD_diagonal_aec_delta,-0.10779234,-0.02292827,0.230084742,-0.119937662
STD_diagonal_aec_gamma1,-0.10779234,-0.044796385,-0.403528035,-5.94E-05
STD_diagonal_aec_gamma2,-0.107751402,-0.042929541,-0.067723779,0.002917651
STD_diagonal_aec_theta,0.119859077,-0.044796338,-0.061460562,0.016520923
STD_diagonal_dwpli_alpha,-0.124539146,-0.054201593,-0.061460608,-6.40E-05
STD_diagonal_dwpli_beta,-0.107789327,-0.044694306,-0.061460481,-5.94E-05
STD_diagonal_dwpli_delta,-0.107798124,-0.044796385,-0.061461155,-5.94E-05
STD_diagonal_dwpli_gamma1,-0.107766419,-0.044796385,-0.061460562,-0.00116165
STD_diagonal_dwpli_gamma2,-0.105926444,-0.002243165,-0.06119766,0.021190945
STD_diagonal_dwpli_theta,-0.10779234,-0.044796385,-0.072821279,0.007456253
