,fold_0,fold_1,fold_2,fold_3
IND_diagonal_aec_alpha,0.429599229,0.236679276,0.367486102,0.548827595
IND_diagonal_aec_beta,0.423909615,0.307548559,0.294826646,0.434987364
IND_diagonal_aec_delta,0.508619594,0.072421159,0.361820149,0.249456465
IND_diagonal_aec_gamma1,0.333007282,0.004260844,0.04786417,-0.045406904
IND_diagonal_aec_gamma2,0.242983458,-0.233836772,-0.021763329,0.168037204
IND_diagonal_aec_theta,0.43474752,0.472142974,0.357140933,0.316607286
IND_diagonal_dwpli_alpha,0.23368587,0.296473174,0.342314264,0.553536006
IND_diagonal_dwpli_beta,0.295105625,0.182335878,0.200329343,0.256602214
IND_diagonal_dwpli_delta,-0.016700431,0.020131916,0.107263242,0.24005627
IND_diagonal_dwpli_gamma1,0.449805354,0.129577981,0.042619031,0.182680816
IND_diagonal_dwpli_gamma2,0.446212585,-0.025996912,-0.192963442,0.280448344
IND_diagonal_dwpli_theta,0.484082258,0.382600606,0.264304989,0.269173135
STD_diagonal_aec_alpha,0.560498012,0.218121408,0.438001176,0.408792415
STD_diagonal_aec_beta,0.269731101,0.312019854,0.427221837,0.120619921
STD_diagonal_aec_delta,0.247792878,-0.00688356,0.258862661,0.191742472
STD_diagonal_aec_gamma1,0.375505929,-0.075643373,0.007192642,0.131793053
STD_diagonal_aec_gamma2,0.08999555,0.153927616,-0.002372498,-0.079302158
STD_diagonal_aec_theta,0.551992477,0.378853154,0.369380645,0.354623742
STD_diagonal_dwpli_alpha,0.358198215,0.26967408,0.451055487,0.483005035
STD_diagonal_dwpli_beta,0.14132112,0.241849597,0.450335073,0.171562725
STD_diagonal_dwpli_delta,0.407888186,0.406223091,0.256870286,0.198425446
STD_diagonal_dwpli_gamma1,0.40384837,-0.001341053,-0.011163182,0.244919105
STD_diagonal_dwpli_gamma2,0.326550273,0.166652041,0.006078735,0.338545449
STD_diagonal_dwpli_theta,0.497835352,0.264049487,0.296735513,0.295358192
