,fold_0,fold_1,fold_2,fold_3
IND_diagonal_aec_alpha,0.096745722,-0.128532598,0.055136422,0.270520835
IND_diagonal_aec_beta,0.104308821,0.006069205,0.045923037,0.14749248
IND_diagonal_aec_delta,0.121254127,-0.417532094,0.084999415,0.042063193
IND_diagonal_aec_gamma1,-0.030480627,-0.183320837,-0.062499667,-0.108298641
IND_diagonal_aec_gamma2,-0.06928332,-0.28797816,-0.102461571,0.026927838
IND_diagonal_aec_theta,0.127410742,0.214471766,0.080809571,0.067216506
IND_diagonal_dwpli_alpha,-0.06689548,-0.10742372,0.036439634,0.216283112
IND_diagonal_dwpli_beta,-0.006138875,-0.088431117,-0.009338848,0.060404219
IND_diagonal_dwpli_delta,-0.216528628,-0.128772992,-0.037885286,0.055246136
IND_diagonal_dwpli_gamma1,0.111386513,-0.009178572,-0.171055465,-0.013441611
IND_diagonal_dwpli_gamma2,0.013806733,-0.097066057,-0.426899574,0.075305175
IND_diagonal_dwpli_theta,0.104347664,0.127407921,-0.025371661,0.068025192
STD_diagonal_aec_alpha,0.219159359,-0.26831632,0.099629054,0.162008603
STD_diagonal_aec_beta,-0.022784246,0.04053684,0.133353614,-0.052193868
STD_diagonal_aec_delta,-0.083546172,-0.310816912,-0.039877055,-0.018171459
STD_diagonal_aec_gamma1,0.029463867,-0.149978363,-0.082709008,0.016947502
STD_diagonal_aec_gamma2,-0.123231379,-0.017834189,-0.104817802,-0.042250599
STD_diagonal_aec_theta,0.239721434,0.125147717,0.077388279,0.11026902
STD_diagonal_dwpli_alpha,0.017382364,-0.087515546,0.186765851,0.210569867
STD_diagonal_dwpli_beta,-0.116505888,-0.039575091,0.108886262,-0.019190938
STD_diagonal_dwpli_delta,-0.004923316,0.120804617,0.027064986,0.038079268
STD_diagonal_dwpli_gamma1,0.045814048,-0.327548954,-0.246304875,0.058033426
STD_diagonal_dwpli_gamma2,-0.06006901,0.012128876,-0.216833781,0.094847303
STD_diagonal_dwpli_theta,0.104287743,-0.013452956,-0.077266604,-0.082975092
